date,V1,V2,V4,V5,V7,V8,V1_fuel,V2_fuel,V4_fuel,V5_fuel,V7_fuel,V8_fuel,FuelScore
1965-04-30,34.0945945405,,10.638681478783464,,,0.8400890747712445,98.33333333333333,,87.5,,,6.32102111934697,36.36585776064864
1965-05-31,34.0945945405,,10.638681478783464,,,0.8400890747712445,97.5,,87.5,,,6.261246058352521,36.05349224338027
1965-06-30,34.715467945,,10.638681478783464,,,0.8766896499825979,99.16666666666667,,87.5,,,20.15874545352051,45.957250339445785
1965-07-31,34.715467945,,11.604918612880397,,,0.8766896499825979,98.33333333333333,,57.5,,,20.518441462940316,45.927385747150275
1965-08-31,34.715467945,,11.604918612880397,,,0.8766896499825979,97.5,,57.5,,,20.861947382530822,45.88661762496974
1965-09-30,35.5320892078,,11.604918612880397,,,0.781297299479039,99.16666666666667,,57.5,,,0.0,32.38095238095238
1965-10-31,35.5320892078,,11.651242502142246,,,0.781297299479039,98.33333333333333,,55.0,,,0.0,32.10884353741496
1965-11-30,35.5320892078,,11.651242502142246,,,0.781297299479039,97.5,,55.0,,,0.0,31.836734693877553
1965-12-31,35.4791066116,,11.651242502142246,,,0.814507098022514,96.66666666666667,,55.0,,,3.082286980970866,33.64045177630011
1966-01-31,35.4791066116,,11.449727587914808,,,0.814507098022514,95.83333333333334,,60.0,,,4.0517950876643285,34.02127696380114
1966-02-28,35.4791066116,,11.449727587914808,,,0.814507098022514,95.0,,60.0,,,4.974696762280112,34.370714146025385
1966-03-31,36.9035339391,,11.449727587914808,,,0.8590197069226881,99.16666666666667,,60.0,,,21.343296324516803,46.75500908930043
1966-04-30,36.9035339391,,11.623635500711911,,,0.8590197069226881,98.33333333333333,,52.5,,,21.81179822335314,46.79842193273442
1966-05-31,36.9035339391,,11.623635500711911,,,0.8590197069226881,97.5,,52.5,,,22.270513373033385,46.835243700206156
1966-06-30,36.8414195349,,11.623635500711911,,,0.9192294398431928,96.66666666666667,,52.5,,,43.72943554417554,61.01506203315223
1966-07-31,36.8414195349,,11.293556085918857,,,0.9192294398431928,95.83333333333334,,60.0,,,43.967138172787855,60.90303863337414
1966-08-31,36.8414195349,,11.293556085918857,,,0.9192294398431928,95.0,,60.0,,,44.2060397079798,60.79182266047619
1966-09-30,37.6510670686,,11.293556085918857,,,0.9590569571014878,99.16666666666667,,60.0,,,58.672145038754785,71.89484597848111
1966-10-31,37.6510670686,,10.844970076944998,,,0.9590569571014878,98.33333333333333,,85.0,,,58.93169939839882,71.79753905062233
1966-11-30,37.6510670686,,10.844970076944998,,,0.9590569571014878,97.5,,85.0,,,59.1958153349513,71.70330420517128
