time,ICR,pctl_5y,pctl_10y,zscore_level,delta_4q,delta_delta,slope_4q,delta_zscore,consecutive_declines
2005-08-31,6.674783175210717,100.0,100.0,2.340995567303576,1.670967536029412,0.41899086753205506,0.348142623753533,1.787237912430796,0.0
2005-09-30,6.674783175210717,100.0,100.0,2.340995567303576,1.670967536029412,0.41899086753205506,0.348142623753533,1.787237912430796,0.0
2005-10-31,6.857946626161259,100.0,100.0,2.2848611523096594,1.365668633883267,-0.30529890214614497,0.44464870331304973,1.3614825917680766,0.0
2005-11-30,6.857946626161259,100.0,100.0,2.2848611523096594,1.365668633883267,-0.30529890214614497,0.44464870331304973,1.3614825917680766,0.0
2005-12-31,6.857946626161259,100.0,100.0,2.2848611523096594,1.365668633883267,-0.30529890214614497,0.44464870331304973,1.3614825917680766,0.0
2006-01-31,6.724776183433622,95.0,97.5,2.0099413189744966,1.007719850476919,-0.35794878340634817,0.3404590936169784,0.9190507791014667,1.0
2006-02-28,6.724776183433622,95.0,97.5,2.0099413189744966,1.007719850476919,-0.35794878340634817,0.3404590936169784,0.9190507791014667,1.0
2006-03-31,6.724776183433622,95.0,97.5,2.0099413189744966,1.007719850476919,-0.35794878340634817,0.3404590936169784,0.9190507791014667,1.0
2006-04-30,7.61534726704633,100.0,100.0,2.462751643007006,1.9643802453524577,0.9566603948755388,0.2688521832779199,1.8519574738291344,0.0
2006-05-31,7.61534726704633,100.0,100.0,2.462751643007006,1.9643802453524577,0.9566603948755388,0.2688521832779199,1.8519574738291344,0.0
2006-06-30,7.61534726704633,100.0,100.0,2.462751643007006,1.9643802453524577,0.9566603948755388,0.2688521832779199,1.8519574738291344,0.0
2006-07-31,7.813310828507406,100.0,100.0,2.3665125262653164,1.1385276532966895,-0.8258525920557682,0.37566636906511447,0.9336870801266606,0.0
2006-08-31,7.813310828507406,100.0,100.0,2.3665125262653164,1.1385276532966895,-0.8258525920557682,0.37566636906511447,0.9336870801266606,0.0
2006-09-30,7.813310828507406,100.0,100.0,2.3665125262653164,1.1385276532966895,-0.8258525920557682,0.37566636906511447,0.9336870801266606,0.0
2006-10-31,7.843497893350513,100.0,100.0,2.1927353447823488,0.9855512671892539,-0.15297638610743558,0.35541286912117365,0.7566360099160185,0.0
2006-11-30,7.843497893350513,100.0,100.0,2.1927353447823488,0.9855512671892539,-0.15297638610743558,0.35541286912117365,0.7566360099160185,0.0
2006-12-31,7.843497893350513,100.0,100.0,2.1927353447823488,0.9855512671892539,-0.15297638610743558,0.35541286912117365,0.7566360099160185,0.0
2007-01-31,7.963412112902875,100.0,100.0,2.096388151017966,1.238635929469253,0.25308466227999915,0.1074381602412742,0.9916865081081746,0.0
2007-02-28,7.963412112902875,100.0,100.0,2.096388151017966,1.238635929469253,0.25308466227999915,0.1074381602412742,0.9916865081081746,0.0
2007-03-31,7.963412112902875,100.0,100.0,2.096388151017966,1.238635929469253,0.25308466227999915,0.1074381602412742,0.9916865081081746,0.0
2007-04-30,6.919226297536594,80.0,90.0,1.3905779920734154,-0.6961209695097361,-1.9347568989789892,-0.25623393733600874,-0.9805899814312293,1.0
2007-05-31,6.919226297536594,80.0,90.0,1.3905779920734154,-0.6961209695097361,-1.9347568989789892,-0.25623393733600874,-0.9805899814312293,1.0
2007-06-30,6.919226297536594,80.0,90.0,1.3905779920734154,-0.6961209695097361,-1.9347568989789892,-0.25623393733600874,-0.9805899814312293,1.0
2007-07-31,6.167402571623916,60.0,80.0,0.9114009143234263,-1.64590825688349,-0.9497872873737538,-0.6072471780546079,-1.8257639382945623,2.0
2007-08-31,6.167402571623916,60.0,80.0,0.9114009143234263,-1.64590825688349,-0.9497872873737538,-0.6072471780546079,-1.8257639382945623,2.0
2007-09-30,6.167402571623916,60.0,80.0,0.9114009143234263,-1.64590825688349,-0.9497872873737538,-0.6072471780546079,-1.8257639382945623,2.0
2007-10-31,5.761525755218437,55.00000000000001,77.5,0.6560674583926118,-2.081972138132076,-0.43606388124858597,-0.7357482798966006,-2.0754792467283885,3.0
2007-11-30,5.761525755218437,55.00000000000001,77.5,0.6560674583926118,-2.081972138132076,-0.43606388124858597,-0.7357482798966006,-2.0754792467283885,3.0
2007-12-31,5.761525755218437,55.00000000000001,77.5,0.6560674583926118,-2.081972138132076,-0.43606388124858597,-0.7357482798966006,-2.0754792467283885,3.0
2008-01-31,4.859085488817495,30.0,60.0,0.1251733030941401,-3.10432662408538,-1.0223544859533042,-0.6586299242562791,-2.659593632683472,4.0
2008-02-29,4.859085488817495,30.0,60.0,0.1251733030941401,-3.10432662408538,-1.0223544859533042,-0.6586299242562791,-2.659593632683472,4.0
2008-03-31,4.859085488817495,30.0,60.0,0.1251733030941401,-3.10432662408538,-1.0223544859533042,-0.6586299242562791,-2.659593632683472,4.0
2008-04-30,4.717034579042146,25.0,60.0,0.04511263486382246,-2.202191718494448,0.9021349055909322,-0.5253544244146257,-1.7846006200318947,5.0
2008-05-31,4.717034579042146,25.0,60.0,0.04511263486382246,-2.202191718494448,0.9021349055909322,-0.5253544244146257,-1.7846006200318947,5.0
2008-06-30,4.717034579042146,25.0,60.0,0.04511263486382246,-2.202191718494448,0.9021349055909322,-0.5253544244146257,-1.7846006200318947,5.0
2008-07-31,4.0622325857303325,15.0,42.5,-0.34188582800365386,-2.1051699858935837,0.09702173260086422,-0.5239930418239678,-1.6313670610087292,6.0
2008-08-31,4.0622325857303325,15.0,42.5,-0.34188582800365386,-2.1051699858935837,0.09702173260086422,-0.5239930418239678,-1.6313670610087292,6.0
2008-09-30,4.0622325857303325,15.0,42.5,-0.34188582800365386,-2.1051699858935837,0.09702173260086422,-0.5239930418239678,-1.6313670610087292,6.0
2008-10-31,4.023319873351051,5.0,37.5,-0.36052242899679043,-1.738205881867386,0.3669641040261977,-0.31620988397111505,-1.3048813498298748,7.0
2008-11-30,4.023319873351051,5.0,37.5,-0.36052242899679043,-1.738205881867386,0.3669641040261977,-0.31620988397111505,-1.3048813498298748,7.0
2008-12-31,4.023319873351051,5.0,37.5,-0.36052242899679043,-1.738205881867386,0.3669641040261977,-0.31620988397111505,-1.3048813498298748,7.0
2009-01-31,4.116684142020391,15.0,47.5,-0.3009092988261485,-0.742401346797104,0.995804535070282,-0.18399640234445497,-0.5479071522183325,0.0
2009-02-28,4.116684142020391,15.0,47.5,-0.3009092988261485,-0.742401346797104,0.995804535070282,-0.18399640234445497,-0.5479071522183325,0.0
2009-03-31,4.116684142020391,15.0,47.5,-0.3009092988261485,-0.742401346797104,0.995804535070282,-0.18399640234445497,-0.5479071522183325,0.0
2009-04-30,2.9705627705627706,0.0,17.5,-0.9534477678579163,-1.746471808479375,-1.004070461682271,-0.31816451768333553,-1.2769673435302058,1.0
2009-05-31,2.9705627705627706,0.0,17.5,-0.9534477678579163,-1.746471808479375,-1.004070461682271,-0.31816451768333553,-1.2769673435302058,1.0
2009-06-30,2.9705627705627706,0.0,17.5,-0.9534477678579163,-1.746471808479375,-1.004070461682271,-0.31816451768333553,-1.2769673435302058,1.0
2009-07-31,3.169873746403915,5.0,22.5,-0.814253367816295,-0.8923588393264175,0.8541129691529576,-0.3706459752299037,-0.6156505770737786,0.0
2009-08-31,3.169873746403915,5.0,22.5,-0.814253367816295,-0.8923588393264175,0.8541129691529576,-0.3706459752299037,-0.6156505770737786,0.0
2009-09-30,3.169873746403915,5.0,22.5,-0.814253367816295,-0.8923588393264175,0.8541129691529576,-0.3706459752299037,-0.6156505770737786,0.0
2009-10-31,3.2856787882000584,10.0,27.500000000000004,-0.7280141170047928,-0.7376410851509925,0.154717754175425,-0.22937050856198596,-0.48562381250726977,0.0
2009-11-30,3.2856787882000584,10.0,27.500000000000004,-0.7280141170047928,-0.7376410851509925,0.154717754175425,-0.22937050856198596,-0.48562381250726977,0.0
2009-12-31,3.2856787882000584,10.0,27.500000000000004,-0.7280141170047928,-0.7376410851509925,0.154717754175425,-0.22937050856198596,-0.48562381250726977,0.0
2010-01-31,3.57993367675684,15.0,35.0,-0.549458255585557,-0.5367504652635513,0.20089061988744117,0.19439177603783495,-0.3317401679007035,0.0
2010-02-28,3.57993367675684,15.0,35.0,-0.549458255585557,-0.5367504652635513,0.20089061988744117,0.19439177603783495,-0.3317401679007035,0.0
2010-03-31,3.57993367675684,15.0,35.0,-0.549458255585557,-0.5367504652635513,0.20089061988744117,0.19439177603783495,-0.3317401679007035,0.0
2010-04-30,4.164392818719741,35.0,57.49999999999999,-0.21587235900835913,1.1938300481569706,1.7305805134205219,0.3277812105504255,0.9205356455028046,0.0
2010-05-31,4.164392818719741,35.0,57.49999999999999,-0.21587235900835913,1.1938300481569706,1.7305805134205219,0.3277812105504255,0.9205356455028046,0.0
2010-06-30,4.164392818719741,35.0,57.49999999999999,-0.21587235900835913,1.1938300481569706,1.7305805134205219,0.3277812105504255,0.9205356455028046,0.0
2010-07-31,4.395395538265958,40.0,57.49999999999999,-0.0929045559460989,1.2255217918620427,0.031691743705072106,0.39136093921605947,0.9031214777530132,0.0
2010-08-31,4.395395538265958,40.0,57.49999999999999,-0.0929045559460989,1.2255217918620427,0.031691743705072106,0.39136093921605947,0.9031214777530132,0.0
