as_of_date,icr_raw,delta_4q,zscore_10y,pctl_10y,pctl_flipped
1973-02-28,5.308089586333614,0.3655960551512729,-1.1762514954974161,25.0,75.0
1973-03-31,5.308089586333614,0.3655960551512729,-1.1762514954974161,25.0,75.0
1973-04-30,5.642541117630086,0.6122921005920778,-1.0146385106343363,27.500000000000004,72.5
1973-05-31,5.642541117630086,0.6122921005920778,-1.0146385106343363,27.500000000000004,72.5
1973-06-30,5.642541117630086,0.6122921005920778,-1.0146385106343363,27.500000000000004,72.5
1973-07-31,5.981072265355814,0.7479062801583609,-0.860483266304502,32.5,67.5
1973-08-31,5.981072265355814,0.7479062801583609,-0.860483266304502,32.5,67.5
1973-09-30,5.981072265355814,0.7479062801583609,-0.860483266304502,32.5,67.5
1973-10-31,5.794189602446484,0.595013987973938,-0.876008736272094,32.5,67.5
1973-11-30,5.794189602446484,0.595013987973938,-0.876008736272094,32.5,67.5
1973-12-31,5.794189602446484,0.595013987973938,-0.876008736272094,32.5,67.5
1974-01-31,5.432034240092185,0.12394465375857067,-0.9463348086793899,27.500000000000004,72.5
1974-02-28,5.432034240092185,0.12394465375857067,-0.9463348086793899,27.500000000000004,72.5
1974-03-31,5.432034240092185,0.12394465375857067,-0.9463348086793899,27.500000000000004,72.5
1974-04-30,5.414982484505524,-0.22755863312456182,-0.9058634921135107,27.500000000000004,72.5
1974-05-31,5.414982484505524,-0.22755863312456182,-0.9058634921135107,27.500000000000004,72.5
1974-06-30,5.414982484505524,-0.22755863312456182,-0.9058634921135107,27.500000000000004,72.5
1974-07-31,5.185091440590353,-0.7959808247654605,-0.9360841799494332,20.0,80.0
1974-08-31,5.185091440590353,-0.7959808247654605,-0.9360841799494332,20.0,80.0
1974-09-30,5.185091440590353,-0.7959808247654605,-0.9360841799494332,20.0,80.0
1974-10-31,5.163345807626175,-0.6308437948203087,-0.8985214520773271,20.0,80.0
1974-11-30,5.163345807626175,-0.6308437948203087,-0.8985214520773271,20.0,80.0
1974-12-31,5.163345807626175,-0.6308437948203087,-0.8985214520773271,20.0,80.0
1975-01-31,5.334173452242471,-0.09786078784971419,-0.798755053156274,32.5,67.5
1975-02-28,5.334173452242471,-0.09786078784971419,-0.798755053156274,32.5,67.5
1975-03-31,5.334173452242471,-0.09786078784971419,-0.798755053156274,32.5,67.5
1975-04-30,4.700786661234212,-0.7141958232713117,-0.9723878421613549,7.5,92.5
1975-05-31,4.700786661234212,-0.7141958232713117,-0.9723878421613549,7.5,92.5
1975-06-30,4.700786661234212,-0.7141958232713117,-0.9723878421613549,7.5,92.5
1975-07-31,4.022107070583186,-1.1629843700071678,-1.1678827741205857,0.0,100.0
1975-08-31,4.022107070583186,-1.1629843700071678,-1.1678827741205857,0.0,100.0
1975-09-30,4.022107070583186,-1.1629843700071678,-1.1678827741205857,0.0,100.0
1975-10-31,4.283655900848648,-0.8796899067775277,-1.0368365727685696,5.0,95.0
1975-11-30,4.283655900848648,-0.8796899067775277,-1.0368365727685696,5.0,95.0
1975-12-31,4.283655900848648,-0.8796899067775277,-1.0368365727685696,5.0,95.0
1976-01-31,5.125215836211149,-0.2089576160313218,-0.6846482095508165,27.500000000000004,72.5
1976-02-29,5.125215836211149,-0.2089576160313218,-0.6846482095508165,27.500000000000004,72.5
1976-03-31,5.125215836211149,-0.2089576160313218,-0.6846482095508165,27.500000000000004,72.5
1976-04-30,5.3945978429325985,0.6938111816983863,-0.5427101178306589,45.0,55.0
1976-05-31,5.3945978429325985,0.6938111816983863,-0.5427101178306589,45.0,55.0
1976-06-30,5.3945978429325985,0.6938111816983863,-0.5427101178306589,45.0,55.0
1976-07-31,6.070642141350211,2.0485350707670253,-0.20345115060792762,62.5,37.5
1976-08-31,6.070642141350211,2.0485350707670253,-0.20345115060792762,62.5,37.5
1976-09-30,6.070642141350211,2.0485350707670253,-0.20345115060792762,62.5,37.5
1976-10-31,6.205452217279957,1.9217963164313092,-0.08249738765684995,65.0,35.0
1976-11-30,6.205452217279957,1.9217963164313092,-0.08249738765684995,65.0,35.0
1976-12-31,6.205452217279957,1.9217963164313092,-0.08249738765684995,65.0,35.0
1977-01-31,6.236490588949605,1.1112747527384563,-0.0038428571124478205,67.5,32.5
1977-02-28,6.236490588949605,1.1112747527384563,-0.0038428571124478205,67.5,32.5
1977-03-31,6.236490588949605,1.1112747527384563,-0.0038428571124478205,67.5,32.5
1977-04-30,6.049061094948425,0.6544632520158267,-0.04864319402819797,62.5,37.5
1977-05-31,6.049061094948425,0.6544632520158267,-0.04864319402819797,62.5,37.5
1977-06-30,6.049061094948425,0.6544632520158267,-0.04864319402819797,62.5,37.5
1977-07-31,6.211390635918938,0.14074849456872673,0.10624885215010253,70.0,30.0
1977-08-31,6.211390635918938,0.14074849456872673,0.10624885215010253,70.0,30.0
1977-09-30,6.211390635918938,0.14074849456872673,0.10624885215010253,70.0,30.0
1977-10-31,6.401397658309325,0.19594544102936773,0.2898447303171615,77.5,22.5
1977-11-30,6.401397658309325,0.19594544102936773,0.2898447303171615,77.5,22.5
1977-12-31,6.401397658309325,0.19594544102936773,0.2898447303171615,77.5,22.5
1978-01-31,6.434210917745054,0.19772032879544899,0.37927909660037173,80.0,20.0
1978-02-28,6.434210917745054,0.19772032879544899,0.37927909660037173,80.0,20.0
1978-03-31,6.434210917745054,0.19772032879544899,0.37927909660037173,80.0,20.0
1978-04-30,6.3469310725277275,0.29786997757930234,0.40282873696348925,77.5,22.5
1978-05-31,6.3469310725277275,0.29786997757930234,0.40282873696348925,77.5,22.5
1978-06-30,6.3469310725277275,0.29786997757930234,0.40282873696348925,77.5,22.5
1978-07-31,6.071554418868997,-0.13983621704994054,0.27699740158917957,67.5,32.5
1978-08-31,6.071554418868997,-0.13983621704994054,0.27699740158917957,67.5,32.5
1978-09-30,6.071554418868997,-0.13983621704994054,0.27699740158917957,67.5,32.5
1978-10-31,6.8518919519169375,0.45049429360761284,1.1126999968999518,87.5,12.5
1978-11-30,6.8518919519169375,0.45049429360761284,1.1126999968999518,87.5,12.5
1978-12-31,6.8518919519169375,0.45049429360761284,1.1126999968999518,87.5,12.5
1979-01-31,6.756828312846143,0.3226173951010889,1.1811044913450932,87.5,12.5
1979-02-28,6.756828312846143,0.3226173951010889,1.1811044913450932,87.5,12.5
1979-03-31,6.756828312846143,0.3226173951010889,1.1811044913450932,87.5,12.5
1979-04-30,6.889043177530915,0.5421121050031878,1.499388319939382,92.5,7.5
1979-05-31,6.889043177530915,0.5421121050031878,1.499388319939382,92.5,7.5
1979-06-30,6.889043177530915,0.5421121050031878,1.499388319939382,92.5,7.5
1979-07-31,6.593860567100213,0.5223061482312161,1.2722558033388727,87.5,12.5
