,icr_pctl,delta_zscore,trigger_level,fuel_level,fuel_speed,risk_score,state
2011-09-30,47.5,-0.18080601877516964,0.825,0.0,0.09040300938758482,0.4037645938960497,ELEVATED_RISK
2011-10-31,57.49999999999999,-0.022371316563819292,0.6666666666666665,0.0,0.011185658281909646,0.3065893761200015,ELEVATED_RISK
2011-11-30,57.49999999999999,-0.022371316563819292,0.75,0.0,0.011185658281909646,0.34446816399878943,ELEVATED_RISK
2011-12-31,57.49999999999999,-0.022371316563819292,0.6916666666666668,0.0,0.011185658281909646,0.31795301248363794,ELEVATED_RISK
2012-01-31,55.00000000000001,-0.2313487814232116,0.6083333333333333,0.0,0.1156743907116058,0.31332063946884425,ELEVATED_RISK
2012-02-29,55.00000000000001,-0.2313487814232116,0.5416666666666666,0.0,0.1156743907116058,0.2830176091658139,NORMAL
2012-03-31,55.00000000000001,-0.2313487814232116,0.55,0.0,0.1156743907116058,0.28680548795369276,NORMAL
2012-04-30,55.00000000000001,-0.11293016134259912,0.5583333333333333,0.0,0.05646508067129956,0.27175404081965593,NORMAL
2012-05-31,55.00000000000001,-0.11293016134259912,0.6833333333333332,0.0,0.05646508067129956,0.3285722226378377,ELEVATED_RISK
2012-06-30,55.00000000000001,-0.11293016134259912,0.6,0.0,0.05646508067129956,0.29069343475904985,NORMAL
2012-07-31,67.5,0.5406060409746282,0.575,0.0,0.0,0.2613636363636363,NORMAL
2012-08-31,67.5,0.5406060409746282,0.5416666666666666,0.0,0.0,0.2462121212121212,NORMAL
2012-09-30,67.5,0.5406060409746282,0.5083333333333333,0.0,0.0,0.23106060606060602,NORMAL
2012-10-31,65.0,0.2663120093373734,0.5,0.0,0.0,0.22727272727272727,NORMAL
2012-11-30,65.0,0.2663120093373734,0.5083333333333333,0.0,0.0,0.23106060606060602,NORMAL
2012-12-31,65.0,0.2663120093373734,0.45,0.0,0.0,0.20454545454545453,NORMAL
2013-01-31,62.5,0.31871704203804035,0.43333333333333335,0.0,0.0,0.19696969696969696,NORMAL
2013-02-28,62.5,0.31871704203804035,0.44166666666666665,0.0,0.0,0.20075757575757575,NORMAL
2013-03-31,62.5,0.31871704203804035,0.43333333333333335,0.0,0.0,0.19696969696969696,NORMAL
2013-04-30,65.0,0.3624999789699009,0.39166666666666666,0.0,0.0,0.178030303030303,NORMAL
2013-05-31,65.0,0.3624999789699009,0.4083333333333334,0.0,0.0,0.1856060606060606,NORMAL
2013-06-30,65.0,0.3624999789699009,0.49166666666666664,0.0,0.0,0.22348484848484845,NORMAL
2013-07-31,67.5,0.011492374741717494,0.41666666666666674,0.0,0.0,0.18939393939393942,NORMAL
2013-08-31,67.5,0.011492374741717494,0.43333333333333335,0.0,0.0,0.19696969696969696,NORMAL
2013-09-30,67.5,0.011492374741717494,0.4666666666666666,0.0,0.0,0.21212121212121207,NORMAL
2013-10-31,65.0,0.059358501018666986,0.36666666666666664,0.0,0.0,0.16666666666666663,NORMAL
2013-11-30,65.0,0.059358501018666986,0.35,0.0,0.0,0.15909090909090906,NORMAL
2013-12-31,65.0,0.059358501018666986,0.275,0.0,0.0,0.125,NORMAL
2014-01-31,65.0,0.10113490889792986,0.35,0.0,0.0,0.15909090909090906,NORMAL
2014-02-28,65.0,0.10113490889792986,0.25,0.0,0.0,0.11363636363636363,NORMAL
2014-03-31,65.0,0.10113490889792986,0.25,0.0,0.0,0.11363636363636363,NORMAL
2014-04-30,67.5,0.07550671296994298,0.24166666666666667,0.0,0.0,0.10984848484848483,NORMAL
2014-05-31,67.5,0.07550671296994298,0.2333333333333333,0.0,0.0,0.10606060606060604,NORMAL
2014-06-30,67.5,0.07550671296994298,0.2,0.0,0.0,0.09090909090909091,NORMAL
2014-07-31,57.49999999999999,-0.20399351411966654,0.325,0.0,0.10199675705983327,0.18018078633721965,NORMAL
2014-08-31,57.49999999999999,-0.20399351411966654,0.3,0.0,0.10199675705983327,0.16881714997358327,NORMAL
2014-09-30,57.49999999999999,-0.20399351411966654,0.4,0.0,0.10199675705983327,0.21427169542812877,NORMAL
2014-10-31,70.0,0.02282040649241717,0.375,0.0,0.0,0.17045454545454544,NORMAL
2014-11-30,70.0,0.02282040649241717,0.425,0.0,0.0,0.19318181818181815,NORMAL
2014-12-31,70.0,0.02282040649241717,0.5,0.0,0.0,0.22727272727272727,NORMAL
2015-01-31,75.0,0.20210976711440293,0.525,0.0,0.0,0.23863636363636362,NORMAL
2015-02-28,75.0,0.20210976711440293,0.375,0.0,0.0,0.17045454545454544,NORMAL
2015-03-31,75.0,0.20210976711440293,0.45,0.0,0.0,0.20454545454545453,NORMAL
2015-04-30,70.0,0.12914726968919227,0.38333333333333336,0.0,0.0,0.17424242424242423,NORMAL
2015-05-31,70.0,0.12914726968919227,0.375,0.0,0.0,0.17045454545454544,NORMAL
2015-06-30,70.0,0.12914726968919227,0.48333333333333334,0.0,0.0,0.21969696969696967,NORMAL
