as_of_date,V5_TDSP,zscore_level,pctl_5y,pctl_10y,delta_4q,delta_8q,delta_4q_zscore,delta_8q_zscore,yoy_pct
2007-11-30,15.712123,1.8488429725598785,100.0,100.0,0.3448949999999993,0.5721640000000008,-0.09403815203929151,-0.2093893428634867,2.24435402403087
2007-12-31,15.712123,1.8488429725598785,100.0,100.0,0.3448949999999993,0.5721640000000008,-0.09403815203929151,-0.2093893428634867,2.24435402403087
2008-01-31,15.846367,1.8042429219942904,100.0,100.0,0.3366560000000014,0.8178170000000016,-0.11725972375552464,-0.004405666476753208,2.170614268699156
2008-02-29,15.846367,1.8042429219942904,100.0,100.0,0.3366560000000014,0.8178170000000016,-0.11725972375552464,-0.004405666476753208,2.170614268699156
2008-03-31,15.846367,1.8042429219942904,100.0,100.0,0.3366560000000014,0.8178170000000016,-0.11725972375552464,-0.004405666476753208,2.170614268699156
2008-04-30,15.775857,1.653738747937018,95.0,97.5,0.24924999999999997,0.7864140000000006,-0.23931554985373535,-0.053195791822759214,1.605308873986444
2008-05-31,15.775857,1.653738747937018,95.0,97.5,0.24924999999999997,0.7864140000000006,-0.23931554985373535,-0.053195791822759214,1.605308873986444
2008-06-30,15.775857,1.653738747937018,95.0,97.5,0.24924999999999997,0.7864140000000006,-0.23931554985373535,-0.053195791822759214,1.605308873986444
2008-07-31,15.326612,1.3082079950487484,65.0,82.5,-0.3058979999999991,0.2823570000000011,-0.9166860222622608,-0.5266434852594457,-1.9568066804371065
2008-08-31,15.326612,1.3082079950487484,65.0,82.5,-0.3058979999999991,0.2823570000000011,-0.9166860222622608,-0.5266434852594457,-1.9568066804371065
2008-09-30,15.326612,1.3082079950487484,65.0,82.5,-0.3058979999999991,0.2823570000000011,-0.9166860222622608,-0.5266434852594457,-1.9568066804371065
2008-10-31,15.546547,1.3684928487702157,80.0,90.0,-0.16557599999999972,0.17931899999999956,-0.7453863461257647,-0.6332956091684183,-1.0538104876088306
2008-11-30,15.546547,1.3684928487702157,80.0,90.0,-0.16557599999999972,0.17931899999999956,-0.7453863461257647,-0.6332956091684183,-1.0538104876088306
