as_of_date,V2_Ratio,zscore_level,pctl_5y,pctl_10y,delta_12m,delta_24m,delta_12m_zscore,delta_24m_zscore,yoy_pct
2011-11-30,19.687896499983417,-1.8008846534266287,20.0,,-5.038350080883966,-4.736797897609584,-0.7807672940006802,-0.37028409640211035,-20.37652607081306
2011-12-30,19.687896499983417,-1.7686824642707313,20.0,,-5.038350080883966,-4.736797897609584,-0.7748087152301886,-0.3680355218754962,-20.37652607081306
2012-01-31,19.235565092628214,-1.81283161502863,20.0,,-8.912663237717357,3.1712254266916986,-1.4605397926745007,0.8898990612108431,-31.663318675402895
2012-02-29,19.235565092628214,-1.7806361572034297,20.0,,-8.912663237717357,3.1712254266916986,-1.4393514031019932,0.8815470778389684,-31.663318675402895
2012-03-30,19.235565092628214,-1.750100519698415,20.0,,-8.912663237717357,3.1712254266916986,-1.419061562818934,0.8734267061063046,-31.663318675402895
2012-04-30,19.409351684650854,-1.6883934945419181,25.0,12.5,0.8182256246067787,2.217795842748849,0.3295330190990179,0.7145884264528054,4.401162263997027
2012-05-30,19.409351684650854,-1.6571026671569309,25.0,12.5,0.8182256246067787,2.217795842748849,0.3278822271077627,0.7091067796000775,4.401162263997027
2012-06-30,19.409351684650854,-1.626958610343101,25.0,12.5,0.8182256246067787,2.217795842748849,0.32625602232299916,0.7037497481660918,4.401162263997027
2012-07-31,19.425762768365555,-1.5967023817605595,30.0,15.0,0.724917219615044,-4.807563897838929,0.3077608052625681,-0.43143140827428417,3.876387395025982
2012-08-29,19.425762768365555,-1.5700207877291237,30.0,15.0,0.724917219615044,-4.807563897838929,0.3062787285852675,-0.42891273387593387,3.876387395025982
2012-09-30,19.425762768365555,-1.544196755962926,30.0,15.0,0.724917219615044,-4.807563897838929,0.3048178774382478,-0.4264377349501593,3.876387395025982
2012-10-30,19.849335038454242,-1.454074423467798,40.0,20.0,0.16143853847082568,-4.87691154241314,0.20004748101534017,-0.43528893904007154,0.8199887604598111
2012-11-30,19.849335038454242,-1.4312824775753088,40.0,20.0,0.16143853847082568,-4.87691154241314,0.1991562200590145,-0.4328136148376451,0.8199887604598111
2012-12-30,19.849335038454242,-1.4091281775198052,40.0,20.0,0.16143853847082568,-4.87691154241314,0.19827677027387264,-0.4303801132367314,0.8199887604598111
2013-01-31,19.780175486116278,-1.3955613327984746,40.0,20.0,0.544610393488064,-8.368052844229293,0.2685822380661284,-1.0000220688394197,2.83126797089408
2013-02-28,19.780175486116278,-1.372086813638148,40.0,20.0,0.544610393488064,-8.368052844229293,0.26737924368225285,-0.9907195396274012,2.83126797089408
2013-03-30,19.780175486116278,-1.349272174274742,40.0,20.0,0.544610393488064,-8.368052844229293,0.2661922807074314,-0.9816726571760298,2.83126797089408
2013-04-30,21.589471808355118,-1.062129417143878,50.0,25.0,2.1801201237042633,2.998345748311042,0.5762756508127695,0.8968471461570612,11.232318106886229
2013-05-30,21.589471808355118,-1.0461852908479885,50.0,25.0,2.1801201237042633,2.998345748311042,0.5774288916091932,0.8895226006365465,11.232318106886229
2013-06-30,21.589471808355118,-1.0305287208095792,50.0,25.0,2.1801201237042633,2.998345748311042,0.5785839492509517,0.8823751510911193,11.232318106886229
2013-07-31,36.13560842667704,1.1103050760783686,100.0,90.0,16.709845658311483,17.434762877926527,3.1782988838960358,3.121753893281629,86.01899373301889
2013-08-28,36.13560842667704,1.100783787498458,98.33333333333333,89.16666666666667,16.709845658311483,17.434762877926527,3.0457014127982105,2.9810358720371326,86.01899373301889
2013-09-30,36.13560842667704,1.0913848357912206,96.66666666666667,88.33333333333333,16.709845658311483,17.434762877926527,2.926785830430634,2.8577948540769804,86.01899373301889
2013-10-30,37.26391856303658,1.2459395706973733,100.0,100.0,17.41458352458234,17.576022063053166,2.9307234241792277,2.7675265324340823,87.73383839229353
