as_of_date,raw,delta_12m,zscore_10y,pctl_10y
1985-07-30,14.804252577854191,-0.5136373197159152,-1.4017515801082367,4.166666666666666
1985-08-31,14.656372441410667,-0.3646947169953929,-1.4088969896543226,3.3333333333333335
1985-09-30,14.72089050893595,-0.31678686891612884,-1.372945621971175,5.0
1985-10-30,15.178434712580055,0.19868599706965284,-1.25770160513414,10.833333333333334
1985-11-30,14.715040580510083,-0.15325285634108532,-1.3328824950362794,5.0
1985-12-30,14.947929953715514,-0.3098081612529331,-1.2640731236792797,8.333333333333332
1986-01-31,15.890822461060267,-0.27858649948514014,-1.049640428465444,18.333333333333332
1986-02-28,14.71350120340922,0.004698948299010297,-1.2780820029257431,5.0
1986-03-28,14.513128766841737,0.07029688476364271,-1.2993651037901202,2.5
1986-04-30,14.729937085000794,0.3109914289314748,-1.2333829717928737,8.333333333333332
1986-05-30,14.90485338457827,0.2890672894635937,-1.1790994360962268,10.833333333333334
1986-06-30,14.65489353435036,0.22429549734245846,-1.2141122332776977,4.166666666666666
1986-07-30,15.27272321194456,0.4684706340903695,-1.0647090840911788,18.333333333333332
1986-08-31,15.087301130920764,0.4309286895100968,-1.0880948803190689,16.666666666666664
1986-09-30,14.917338174609693,0.19644766567374283,-1.108412316733299,12.5
1986-10-30,14.980458335492944,-0.19797637708711058,-1.0780988975992494,15.0
1986-11-30,15.097667825386338,0.38262724487625555,-1.03734284937664,19.166666666666668
1986-12-30,15.1118737146196,0.16394376090408613,-1.0193416010586471,20.0
1987-01-31,16.53130232328853,0.6404798622282613,-0.6925371843087611,39.166666666666664
1987-02-28,14.987506252592143,0.27400504918292334,-1.023060155552455,15.833333333333332
1987-03-28,14.807888366972938,0.2947596001312007,-1.0479952951292506,10.833333333333334
1987-04-30,14.658177702788164,-0.07175938221262967,-1.0660483431957595,5.833333333333333
1987-05-30,15.361434110877148,0.4565807262988777,-0.8926803179083085,28.333333333333332
1987-06-30,14.675009681429998,0.02011614707963716,-1.036306058355736,6.666666666666667
1987-07-30,14.58442873398002,-0.6882944779645399,-1.0425610512871555,3.3333333333333335
1987-08-31,14.619847804871647,-0.4674533260491174,-1.0200081393918472,5.0
1987-09-30,14.543478088537768,-0.3738600860719252,-1.0233811225665261,3.3333333333333335
1987-10-30,14.228147304398785,-0.752311031094159,-1.0838213498230695,0.0
1987-11-30,14.74442192325258,-0.35324590213375906,-0.9474630029776328,15.0
1987-12-30,14.690138377383219,-0.421735337236381,-0.9475759085621432,10.833333333333334
1988-01-31,15.188933541470062,-1.3423687818184664,-0.8122262707703469,30.0
1988-02-29,14.210147553776793,-0.77735869881535,-1.0433829805461783,0.0
1988-03-29,13.744816306946309,-1.063072060026629,-1.1452110906941833,0.0
1988-04-30,13.658664836880288,-0.9995128659078762,-1.1517272918423822,0.0
1988-05-30,14.222613946342252,-1.1388201645348968,-0.9960793202668631,2.5
1988-06-30,13.60646507906615,-1.0685446023638487,-1.1408055561588684,0.0
1988-07-30,13.864083093965613,-0.7203456400144077,-1.0603651043290843,2.5
1988-08-31,13.711294219164408,-0.9085535857072387,-1.0898799685679892,1.6666666666666667
1988-09-30,13.591011437466635,-0.9524666510711324,-1.1102491439940974,0.0
1988-10-30,13.460849647670592,-0.7672976567281928,-1.1341179642384893,0.0
1988-11-30,13.542264320896885,-1.202157602355694,-1.1019215810935736,0.8333333333333334
1988-12-30,13.681433598218456,-1.0087047791647628,-1.0529008478358448,4.166666666666666
1989-01-31,13.91549688829285,-1.273436653177212,-0.9758689430895412,7.5
1989-02-28,12.94316809379068,-1.2669794599861124,-1.2448896794577207,0.0
1989-03-28,12.660377881555243,-1.084438425391065,-1.311497708747005,0.0
1989-04-30,12.672375176402827,-0.9862896604774605,-1.293357663473212,0.8333333333333334
1989-05-30,13.053607013317597,-1.1690069330246544,-1.1713431685996887,2.5
1989-06-30,12.34027375903642,-1.26619132002973,-1.3755968305603785,0.0
1989-07-30,12.492311395957707,-1.3717716980079064,-1.31902822536439,0.8333333333333334
1989-08-31,12.474391842543097,-1.2369023766213108,-1.3166574856208848,0.8333333333333334
1989-09-30,12.392891893040659,-1.1981195444259765,-1.3363080930719595,0.8333333333333334
1989-10-30,12.172096807136695,-1.2887528405338973,-1.4000970588046326,0.0
1989-11-30,12.250755881955289,-1.2915084389415963,-1.3672755090785842,0.8333333333333334
1989-12-30,12.660889392473795,-1.0205442057446614,-1.2249284363115267,5.833333333333333
1990-01-31,12.911119089631065,-1.0043777986617854,-1.1492241803407204,7.5
