as_of_date,factor_raw,factor_pctl_5Y,factor_pctl_10Y
1989-06-30,12.34027375903642,0.0,0.0
1989-07-30,12.492311395957707,1.6666666666666667,0.8333333333333334
1989-08-31,12.474391842543097,1.6666666666666667,0.8333333333333334
1989-09-30,12.392891893040659,1.6666666666666667,0.8333333333333334
1989-10-30,12.172096807136695,0.0,0.0
1989-11-30,12.250755881955289,1.6666666666666667,0.8333333333333334
1989-12-30,12.660889392473795,11.666666666666666,5.833333333333333
1990-01-31,12.911119089631065,15.0,7.5
1990-02-28,11.872310879453957,0.0,0.0
1990-03-28,11.792772389871525,0.0,0.0
1990-04-30,11.701594272803431,0.0,0.0
1990-05-30,11.931458226490319,5.0,2.5
1990-06-30,11.491820702108496,0.0,0.0
1990-07-30,11.642142159364393,1.6666666666666667,0.8333333333333334
1990-08-31,11.603290486134306,1.6666666666666667,0.8333333333333334
1990-09-30,11.678715200610053,5.0,2.5
1990-10-30,11.65256886627306,5.0,2.5
1990-11-30,11.664982394095,6.666666666666667,3.3333333333333335
1990-12-30,12.046952032396128,16.666666666666664,8.333333333333332
1991-01-31,12.73404515678473,33.33333333333333,16.666666666666664
1991-02-28,11.164570055042137,0.0,0.0
1991-03-28,11.04285818595055,0.0,0.0
1991-04-30,10.964477126106043,0.0,0.0
1991-05-30,11.11356788190502,3.3333333333333335,1.6666666666666667
1991-06-30,10.916609303639826,0.0,0.0
1991-07-30,11.105247736569787,5.0,2.5
1991-08-31,11.10475878763663,5.0,2.5
1991-09-30,11.118453169470882,10.0,5.0
1991-10-30,11.162983044691646,11.666666666666666,5.833333333333333
1991-11-30,11.320200865774844,15.0,7.5
1991-12-30,11.484261268755262,16.666666666666664,8.333333333333332
1992-01-31,12.3622903273011,41.66666666666667,20.833333333333336
1992-02-29,11.684272328162447,28.333333333333332,14.166666666666666
1992-03-29,11.8627424972898,33.33333333333333,16.666666666666664
1992-04-30,12.032878522218697,38.333333333333336,19.166666666666668
1992-05-30,12.36451197084892,48.333333333333336,24.166666666666668
1992-06-30,12.042398406834103,40.0,20.0
1992-07-30,12.279793141047525,46.666666666666664,23.333333333333332
1992-08-31,12.476928525562279,56.666666666666664,28.333333333333332
1992-09-30,12.778723866515746,66.66666666666666,33.33333333333333
1992-10-30,12.87222122880945,68.33333333333333,34.166666666666664
1992-11-30,13.216811319548267,75.0,37.5
1992-12-30,13.818785861500036,90.0,45.0
1993-01-31,14.34871809253678,98.33333333333333,50.0
1993-02-28,13.355016351457744,76.66666666666667,38.333333333333336
1993-03-28,13.395765180059326,78.33333333333333,39.166666666666664
1993-04-30,13.250596417035526,76.66666666666667,38.333333333333336
1993-05-30,13.56122520245214,85.0,42.5
1993-06-30,14.014078283053468,98.33333333333333,50.83333333333333
1993-07-30,14.019468979953393,98.33333333333333,51.66666666666667
1993-08-31,14.136140193855567,98.33333333333333,52.5
1993-09-30,14.366976399289419,100.0,56.666666666666664
1993-10-30,14.372375553874775,100.0,57.49999999999999
1993-11-30,14.76536608136105,100.0,74.16666666666667
1993-12-30,15.430951097438966,100.0,94.16666666666667
1994-01-31,16.124604297298887,100.0,97.5
1994-02-28,14.808792528816673,96.66666666666667,76.66666666666667
1994-03-28,14.906921664423761,96.66666666666667,79.16666666666666
1994-04-30,14.870938083419622,95.0,78.33333333333333
1994-05-30,15.05742181078108,96.66666666666667,87.5
1994-06-30,14.72717414760637,88.33333333333333,72.5
1994-07-30,14.867857059965244,91.66666666666666,78.33333333333333
1994-08-31,14.940954747182788,95.0,83.33333333333334
1994-09-30,14.902140493601445,91.66666666666666,80.83333333333333
1994-10-30,14.869356807260594,88.33333333333333,80.0
1994-11-30,15.073047277060518,96.66666666666667,89.16666666666667
1994-12-30,15.467022453199247,98.33333333333333,96.66666666666667
1995-01-31,15.691597802371406,98.33333333333333,96.66666666666667
1995-02-28,14.596385189880342,75.0,63.33333333333333
1995-03-28,14.586955416563146,73.33333333333333,63.33333333333333
1995-04-30,14.441934552133254,71.66666666666667,60.0
1995-05-30,14.613401318829276,75.0,64.16666666666667
1995-06-30,14.262196357316492,63.33333333333333,55.833333333333336
1995-07-30,14.420431798122019,68.33333333333333,59.166666666666664
1995-08-31,14.61411930420394,75.0,65.83333333333333
