as_of_date,factor_raw,pctl_5y,pctl_10y,delta_4q,delta_delta,slope_4q,delta_zscore,consecutive_rises
1969-03-31,38.0664001482,100.0,100.0,0.5044516758000057,0.011518000300007714,0.3035647325599936,-0.23270933437748098,1.0
1969-04-30,38.0664001482,100.0,100.0,0.5044516758000057,0.011518000300007714,0.3035647325599936,-0.23270933437748098,1.0
1969-05-31,38.0664001482,100.0,100.0,0.5044516758000057,0.011518000300007714,0.3035647325599936,-0.23270933437748098,1.0
1969-06-30,38.1039599656,100.0,100.0,1.0942583308999971,0.5898066550999914,0.27665826943000055,0.3141787238646971,2.0
1969-07-31,38.1039599656,100.0,100.0,1.0942583308999971,0.5898066550999914,0.27665826943000055,0.3141787238646971,2.0
1969-08-31,38.1039599656,100.0,100.0,1.0942583308999971,0.5898066550999914,0.27665826943000055,0.3141787238646971,2.0
1969-09-30,39.3307354484,100.0,100.0,1.8941990570000016,0.7999407261000044,0.6123501633099933,1.092557107965857,3.0
1969-10-31,39.3307354484,100.0,100.0,1.8941990570000016,0.7999407261000044,0.6123501633099933,1.092557107965857,3.0
1969-11-30,39.3307354484,100.0,100.0,1.8941990570000016,0.7999407261000044,0.6123501633099933,1.092557107965857,3.0
1969-12-31,39.719808908,100.0,100.0,2.4177207314999976,0.523521674499996,0.6187001762199908,1.5564458302610507,4.0
1970-01-31,39.719808908,100.0,100.0,2.4177207314999976,0.523521674499996,0.6187001762199908,1.5564458302610507,4.0
1970-02-28,39.719808908,100.0,100.0,2.4177207314999976,0.523521674499996,0.6187001762199908,1.5564458302610507,4.0
1970-03-31,40.4258261527,100.0,100.0,2.359426004499994,-0.05829472700000338,0.7354672020899987,1.4488567198235407,5.0
1970-04-30,40.4258261527,100.0,100.0,2.359426004499994,-0.05829472700000338,0.7354672020899987,1.4488567198235407,5.0
1970-05-31,40.4258261527,100.0,100.0,2.359426004499994,-0.05829472700000338,0.7354672020899987,1.4488567198235407,5.0
1970-06-30,38.9916857735,85.0,92.5,0.8877258079000043,-1.4717001965999899,-0.03111317800000571,0.05099017210963937,0.0
1970-07-31,38.9916857735,85.0,92.5,0.8877258079000043,-1.4717001965999899,-0.03111317800000571,0.05099017210963937,0.0
1970-08-31,38.9916857735,85.0,92.5,0.8877258079000043,-1.4717001965999899,-0.03111317800000571,0.05099017210963937,0.0
1970-09-30,39.2680279412,85.0,92.5,-0.0627075071999954,-0.9504333150999997,-0.278948327960006,-0.8579336298575043,1.0
1970-10-31,39.2680279412,85.0,92.5,-0.0627075071999954,-0.9504333150999997,-0.278948327960006,-0.8579336298575043,1.0
1970-11-30,39.2680279412,85.0,92.5,-0.0627075071999954,-0.9504333150999997,-0.278948327960006,-0.8579336298575043,1.0
1970-12-31,38.371578708,75.0,87.5,-1.3482301999999962,-1.2855226928000008,-0.5886400166400031,-1.9865991031774366,0.0
1971-01-31,38.371578708,75.0,87.5,-1.3482301999999962,-1.2855226928000008,-0.5886400166400031,-1.9865991031774366,0.0
1971-02-28,38.371578708,75.0,87.5,-1.3482301999999962,-1.2855226928000008,-0.5886400166400031,-1.9865991031774366,0.0
1971-03-31,37.7223487833,55.00000000000001,77.5,-2.703477369399998,-1.355247169400002,-0.47044602038000516,-2.8453793167210035,0.0
1971-04-30,37.7223487833,55.00000000000001,77.5,-2.703477369399998,-1.355247169400002,-0.47044602038000516,-2.8453793167210035,0.0
1971-05-31,37.7223487833,55.00000000000001,77.5,-2.703477369399998,-1.355247169400002,-0.47044602038000516,-2.8453793167210035,0.0
1971-06-30,37.0483285449,15.0,57.49999999999999,-1.9433572286,0.760120140799998,-0.7308328113600068,-2.0277691037891614,0.0
1971-07-31,37.0483285449,15.0,57.49999999999999,-1.9433572286,0.760120140799998,-0.7308328113600068,-2.0277691037891614,0.0
1971-08-31,37.0483285449,15.0,57.49999999999999,-1.9433572286,0.760120140799998,-0.7308328113600068,-2.0277691037891614,0.0
1971-09-30,36.8839761564,5.0,50.0,-2.3840517848000005,-0.4406945562000004,-0.513682789320004,-2.227595131995313,0.0
1971-10-31,36.8839761564,5.0,50.0,-2.3840517848000005,-0.4406945562000004,-0.513682789320004,-2.227595131995313,0.0
1971-11-30,36.8839761564,5.0,50.0,-2.3840517848000005,-0.4406945562000004,-0.513682789320004,-2.227595131995313,0.0
1971-12-31,36.8216138665,5.0,45.0,-1.5499648414999996,0.8340869433000009,-0.28665571389000527,-1.5366052334481404,0.0
1972-01-31,36.8216138665,5.0,45.0,-1.5499648414999996,0.8340869433000009,-0.28665571389000527,-1.5366052334481404,0.0
1972-02-29,36.8216138665,5.0,45.0,-1.5499648414999996,0.8340869433000009,-0.28665571389000527,-1.5366052334481404,0.0
1972-03-31,36.2235315847,0.0,40.0,-1.4988171986000012,0.0511476428999984,-0.25367531705000584,-1.4504694937940104,0.0
1972-04-30,36.2235315847,0.0,40.0,-1.4988171986000012,0.0511476428999984,-0.25367531705000584,-1.4504694937940104,0.0
1972-05-31,36.2235315847,0.0,40.0,-1.4988171986000012,0.0511476428999984,-0.25367531705000584,-1.4504694937940104,0.0
1972-06-30,36.2524016174,5.0,40.0,-0.7959269275000054,0.7028902710999958,-0.2492805898800065,-0.9313344139550537,1.0
1972-07-31,36.2524016174,5.0,40.0,-0.7959269275000054,0.7028902710999958,-0.2492805898800065,-0.9313344139550537,1.0
1972-08-31,36.2524016174,5.0,40.0,-0.7959269275000054,0.7028902710999958,-0.2492805898800065,-0.9313344139550537,1.0
1972-09-30,36.5189416831,10.0,40.0,-0.3650344732999997,0.43089245420000566,-0.08791465175000385,-0.6050004910804742,2.0
1972-10-31,36.5189416831,10.0,40.0,-0.3650344732999997,0.43089245420000566,-0.08791465175000385,-0.6050004910804742,2.0
1972-11-30,36.5189416831,10.0,40.0,-0.3650344732999997,0.43089245420000566,-0.08791465175000385,-0.6050004910804742,2.0
1972-12-31,36.2201580174,0.0,32.5,-0.6014558490999988,-0.2364213757999991,0.02564193637999727,-0.7551732450827455,0.0
1973-01-31,36.2201580174,0.0,32.5,-0.6014558490999988,-0.2364213757999991,0.02564193637999727,-0.7551732450827455,0.0
1973-02-28,36.2201580174,0.0,32.5,-0.6014558490999988,-0.2364213757999991,0.02564193637999727,-0.7551732450827455,0.0
1973-03-31,37.0897397682,40.0,57.49999999999999,0.8662081834999995,1.4676640325999983,0.22132307866999554,0.30369305760558934,1.0
1973-04-30,37.0897397682,40.0,57.49999999999999,0.8662081834999995,1.4676640325999983,0.22132307866999554,0.30369305760558934,1.0
1973-05-31,37.0897397682,40.0,57.49999999999999,0.8662081834999995,1.4676640325999983,0.22132307866999554,0.30369305760558934,1.0
1973-06-30,38.0777786176,65.0,82.5,1.8253770002000067,0.9591688167000072,0.5546092554299944,0.9655446529034659,2.0
1973-07-31,38.0777786176,65.0,82.5,1.8253770002000067,0.9591688167000072,0.5546092554299944,0.9655446529034659,2.0
1973-08-31,38.0777786176,65.0,82.5,1.8253770002000067,0.9591688167000072,0.5546092554299944,0.9655446529034659,2.0
1973-09-30,38.2971545754,70.0,85.0,1.7782128922999973,-0.047164107900009355,0.7219028523399952,0.8984439298195229,3.0
1973-10-31,38.2971545754,70.0,85.0,1.7782128922999973,-0.047164107900009355,0.7219028523399952,0.8984439298195229,3.0
1973-11-30,38.2971545754,70.0,85.0,1.7782128922999973,-0.047164107900009355,0.7219028523399952,0.8984439298195229,3.0
1973-12-31,37.5639781757,45.0,62.5,1.343820158299998,-0.43439273399999934,0.16420911802999894,0.5689860095834586,0.0
1974-01-31,37.5639781757,45.0,62.5,1.343820158299998,-0.43439273399999934,0.16420911802999894,0.5689860095834586,0.0
1974-02-28,37.5639781757,45.0,62.5,1.343820158299998,-0.43439273399999934,0.16420911802999894,0.5689860095834586,0.0
1974-03-31,37.3576144022,40.0,55.00000000000001,0.2678746340000018,-1.0759455242999962,-0.28936690459000736,-0.18795588912072678,0.0
1974-04-30,37.3576144022,40.0,55.00000000000001,0.2678746340000018,-1.0759455242999962,-0.28936690459000736,-0.18795588912072678,0.0
1974-05-31,37.3576144022,40.0,55.00000000000001,0.2678746340000018,-1.0759455242999962,-0.28936690459000736,-0.18795588912072678,0.0
1974-06-30,37.8231262626,55.00000000000001,72.5,-0.2546523550000046,-0.5225269890000064,-0.16284487119000363,-0.539997537725722,1.0
1974-07-31,37.8231262626,55.00000000000001,72.5,-0.2546523550000046,-0.5225269890000064,-0.16284487119000363,-0.539997537725722,1.0
1974-08-31,37.8231262626,55.00000000000001,72.5,-0.2546523550000046,-0.5225269890000064,-0.16284487119000363,-0.539997537725722,1.0
1974-09-30,38.9960298221,80.0,90.0,0.6988752466999983,0.953527601700003,0.47616667995998935,0.13566916369237805,2.0
1974-10-31,38.9960298221,80.0,90.0,0.6988752466999983,0.953527601700003,0.47616667995998935,0.13566916369237805,2.0
1974-11-30,38.9960298221,80.0,90.0,0.6988752466999983,0.953527601700003,0.47616667995998935,0.13566916369237805,2.0
1974-12-31,39.8034892541,95.0,97.5,2.2395110783999996,1.5406358317000013,0.8510528115199976,1.1828223696179996,3.0
1975-01-31,39.8034892541,95.0,97.5,2.2395110783999996,1.5406358317000013,0.8510528115199976,1.1828223696179996,3.0
1975-02-28,39.8034892541,95.0,97.5,2.2395110783999996,1.5406358317000013,0.8510528115199976,1.1828223696179996,3.0
1975-03-31,40.2637600649,95.0,97.5,2.9061456626999984,0.6666345842999988,0.8129360838899972,1.56313531766681,4.0
1975-04-30,40.2637600649,95.0,97.5,2.9061456626999984,0.6666345842999988,0.8129360838899972,1.56313531766681,4.0
1975-05-31,40.2637600649,95.0,97.5,2.9061456626999984,0.6666345842999988,0.8129360838899972,1.56313531766681,4.0
1975-06-30,38.8645288604,75.0,80.0,1.0414025978000012,-1.8647430648999972,0.006576792569994547,0.32629814531373114,0.0
1975-07-31,38.8645288604,75.0,80.0,1.0414025978000012,-1.8647430648999972,0.006576792569994547,0.32629814531373114,0.0
1975-08-31,38.8645288604,75.0,80.0,1.0414025978000012,-1.8647430648999972,0.006576792569994547,0.32629814531373114,0.0
1975-09-30,37.5863249767,50.0,50.0,-1.4097048454000003,-2.4511074432000015,-0.8050724036700027,-1.265481867373389,0.0
1975-10-31,37.5863249767,50.0,50.0,-1.4097048454000003,-2.4511074432000015,-0.8050724036700027,-1.265481867373389,0.0
1975-11-30,37.5863249767,50.0,50.0,-1.4097048454000003,-2.4511074432000015,-0.8050724036700027,-1.265481867373389,0.0
1975-12-31,36.6519051052,20.0,12.5,-3.1515841488999996,-1.7418793034999993,-1.2113768762800026,-2.2271080227224753,0.0
1976-01-31,36.6519051052,20.0,12.5,-3.1515841488999996,-1.7418793034999993,-1.2113768762800026,-2.2271080227224753,0.0
1976-02-29,36.6519051052,20.0,12.5,-3.1515841488999996,-1.7418793034999993,-1.2113768762800026,-2.2271080227224753,0.0
1976-03-31,36.0679731659,0.0,0.0,-4.195786898999998,-1.0442027500999984,-0.9324086955000023,-2.6073961912154227,0.0
1976-04-30,36.0679731659,0.0,0.0,-4.195786898999998,-1.0442027500999984,-0.9324086955000023,-2.6073961912154227,0.0
1976-05-31,36.0679731659,0.0,0.0,-4.195786898999998,-1.0442027500999984,-0.9324086955000023,-2.6073961912154227,0.0
1976-06-30,35.2547735794,0.0,0.0,-3.609755280999998,0.5860316179999998,-0.7578586131200021,-2.0817151430048653,0.0
1976-07-31,35.2547735794,0.0,0.0,-3.609755280999998,0.5860316179999998,-0.7578586131200021,-2.0817151430048653,0.0
1976-08-31,35.2547735794,0.0,0.0,-3.609755280999998,0.5860316179999998,-0.7578586131200021,-2.0817151430048653,0.0
1976-09-30,35.3485294201,5.0,2.5,-2.2377955565999983,1.3719597244,-0.4723326641800023,-1.2313049962204912,1.0
1976-10-31,35.3485294201,5.0,2.5,-2.2377955565999983,1.3719597244,-0.4723326641800023,-1.2313049962204912,1.0
1976-11-30,35.3485294201,5.0,2.5,-2.2377955565999983,1.3719597244,-0.4723326641800023,-1.2313049962204912,1.0
1976-12-31,34.6824078903,0.0,0.0,-1.9694972149000023,0.268298341699996,-0.40629399861000476,-1.0254059498801924,0.0
1977-01-31,34.6824078903,0.0,0.0,-1.9694972149000023,0.268298341699996,-0.40629399861000476,-1.0254059498801924,0.0
1977-02-28,34.6824078903,0.0,0.0,-1.9694972149000023,0.268298341699996,-0.40629399861000476,-1.0254059498801924,0.0
