,SPX,V1_raw,V1_pctl_5y,V1_pctl_10y,V1_delta_4q,V1_delta_zscore
2001-12-31,1148.16,35.5239365826,0.0,0.0,-3.8696756913999977,-2.095410917529768
2002-01-31,1130.18,35.5239365826,0.0,0.0,-3.8696756913999977,-2.095410917529768
2002-02-28,1106.74,35.5239365826,0.0,0.0,-3.8696756913999977,-2.095410917529768
2002-03-31,1147.39,34.047604823,0.0,0.0,-5.268474450799999,-2.822661193201587
2002-04-30,1076.87,34.047604823,0.0,0.0,-5.268474450799999,-2.822661193201587
2002-05-31,1067.18,34.047604823,0.0,0.0,-5.268474450799999,-2.822661193201587
2002-06-30,989.44,33.312486846,0.0,0.0,-4.7494234873,-2.350966282812444
2002-07-31,911.62,33.312486846,0.0,0.0,-4.7494234873,-2.350966282812444
2002-08-31,916.08,33.312486846,0.0,0.0,-4.7494234873,-2.350966282812444
2002-09-30,815.26,32.2920935846,0.0,0.0,-4.1979232746999955,-1.9332557193007438
2002-10-31,885.76,32.2920935846,0.0,0.0,-4.1979232746999955,-1.9332557193007438
2002-11-30,936.31,32.2920935846,0.0,0.0,-4.1979232746999955,-1.9332557193007438
2002-12-31,879.82,32.0462329914,0.0,0.0,-3.4777035912000045,-1.4726951480251764
2003-01-31,855.7,32.0462329914,0.0,0.0,-3.4777035912000045,-1.4726951480251764
2003-02-28,841.15,32.0462329914,0.0,0.0,-3.4777035912000045,-1.4726951480251764
2003-03-31,848.12,31.3486623014,0.0,0.0,-2.6989425215999994,-1.0086939130019128
2003-04-30,916.92,31.3486623014,0.0,0.0,-2.6989425215999994,-1.0086939130019128
2003-05-31,963.59,31.3486623014,0.0,0.0,-2.6989425215999994,-1.0086939130019128
2003-06-30,974.5,30.8740428902,0.0,0.0,-2.4384439558000004,-0.8520067599342782
2003-07-31,990.31,30.8740428902,0.0,0.0,-2.4384439558000004,-0.8520067599342782
2003-08-31,1008.03,30.8740428902,0.0,0.0,-2.4384439558000004,-0.8520067599342782
2003-09-30,995.95,29.8077294542,0.0,0.0,-2.484364130400003,-0.8597782199621796
2003-10-31,1050.71,29.8077294542,0.0,0.0,-2.484364130400003,-0.8597782199621796
2003-11-30,1058.2,29.8077294542,0.0,0.0,-2.484364130400003,-0.8597782199621796
2003-12-31,1111.92,29.1419011098,0.0,0.0,-2.9043318815999974,-1.0672542522061257
2004-01-31,1131.13,29.1419011098,0.0,0.0,-2.9043318815999974,-1.0672542522061257
2004-02-29,1144.94,29.1419011098,0.0,0.0,-2.9043318815999974,-1.0672542522061257
2004-03-31,1126.21,28.8247136665,0.0,0.0,-2.5239486349000018,-0.8805313928089015
2004-04-30,1107.24,28.8247136665,0.0,0.0,-2.5239486349000018,-0.8805313928089015
2004-05-31,1120.64,28.8247136665,0.0,0.0,-2.5239486349000018,-0.8805313928089015
2004-06-30,1140.75,28.118988963,0.0,0.0,-2.7550539271999988,-0.9783859304876596
2004-07-31,1101.72,28.118988963,0.0,0.0,-2.7550539271999988,-0.9783859304876596
2004-08-31,1104.24,28.118988963,0.0,0.0,-2.7550539271999988,-0.9783859304876596
2004-09-30,1114.58,28.351034438,5.0,2.5,-1.4566950162000012,-0.29088583651794125
2004-10-31,1130.2,28.351034438,5.0,2.5,-1.4566950162000012,-0.29088583651794125
2004-11-30,1173.82,28.351034438,5.0,2.5,-1.4566950162000012,-0.29088583651794125
2004-12-31,1211.92,28.5070905645,10.0,5.0,-0.6348105452999988,0.1493248622440079
2005-01-31,1181.27,28.5070905645,10.0,5.0,-0.6348105452999988,0.1493248622440079
2005-02-28,1210.41,28.5070905645,10.0,5.0,-0.6348105452999988,0.1493248622440079
2005-03-31,1180.59,29.0099880642,20.0,10.0,0.18527439770000242,0.5985520067679228
