date,profit,interest,icr
2003-04-01,464.547,188.933,2.4587922702757066
2003-07-01,487.061,181.781,2.6793834339122347
2003-10-01,477.156,176.932,2.696832681482152
2004-01-01,523.937,171.287,3.058825246516081
2004-04-01,566.921,166.791,3.3989903531965155
2004-07-01,648.478,161.965,4.003815639181304
2004-10-01,721.37,160.58,4.492277992277992
2005-01-01,759.814,161.078,4.717056332956704
2005-04-01,770.735,165.715,4.650967021693872
2005-07-01,975.569,171.913,5.674783175210717
2005-10-01,1029.704,175.779,5.857946626161259
2006-01-01,1014.167,177.154,5.724776183433623
2006-04-01,1158.129,175.067,6.61534726704633
2006-07-01,1170.629,171.815,6.813310828507405
2006-10-01,1200.329,175.397,6.843497893350514
2007-01-01,1279.903,183.804,6.9634121129028745
2007-04-01,1191.339,201.266,5.919226297536594
2007-07-01,1171.476,226.705,5.167402571623917
2007-10-01,1190.51,250.027,4.761525755218437
2008-01-01,1058.25,274.223,3.8590854888174952
2008-04-01,1102.242,296.538,3.717034579042146
2008-07-01,970.495,316.924,3.062232585730333
2008-10-01,998.79,330.362,3.023319873351051
2009-01-01,1034.415,331.896,3.116684142020392
2009-04-01,637.28,323.4,1.9705627705627704
2009-07-01,673.544,310.407,2.169873746403915
2009-10-01,689.891,301.832,2.2856787882000584
2010-01-01,764.762,296.427,2.5799336767568404
2010-04-01,941.217,297.44,3.1643928187197417
2010-07-01,1022.941,301.273,3.3953955382659577
2010-10-01,1044.248,304.529,3.4290593014130017
2011-01-01,1101.636,305.388,3.607332311682188
2011-04-01,1052.813,304.717,3.4550517365293048
2011-07-01,992.129,301.82,3.2871545954542443
2011-10-01,1070.314,300.594,3.560663220157422
2012-01-01,1048.308,301.649,3.4752576670235937
2012-04-01,1062.82,303.139,3.5060483804459337
2012-07-01,1300.408,306.69,4.240138250350516
2012-10-01,1285.581,308.752,4.163798129242887
2013-01-01,1281.69,308.786,4.1507386992933615
2013-04-01,1296.367,307.44,4.216650403330731
2013-07-01,1350.307,302.806,4.459313884137038
2013-10-01,1329.836,300.454,4.426088519374014
2014-01-01,1333.005,299.709,4.447664234307278
2014-04-01,1349.424,302.379,4.462690861468554
2014-07-01,1318.241,305.695,4.31227530708713
2014-10-01,1398.629,309.141,4.524242982975405
2015-01-01,1477.614,312.482,4.728637169500963
2015-04-01,1458.504,315.302,4.625736595391085
2015-07-01,1349.099,318.652,4.2337691274493805
2015-10-01,1366.96,322.344,4.240686967959696
2016-01-01,1373.486,326.383,4.208203245879841
2016-04-01,1230.234,330.769,3.719314687893968
2016-07-01,1317.615,335.492,3.927411085808305
2016-10-01,1324.354,340.739,3.8867109429798177
2017-01-01,1304.006,346.507,3.7632890533235983
2017-04-01,1287.055,352.802,3.648094398557831
2017-07-01,1363.423,352.265,3.870446964643096
2017-10-01,1350.437,351.937,3.837155513628859
2018-01-01,1336.094,351.798,3.7979010682266527
2018-04-01,1168.4,351.852,3.3207143912781514
2018-07-01,1262.052,351.932,3.586067763090597
2018-10-01,1366.097,354.553,3.853012102562946
2019-01-01,1338.637,359.592,3.722655120247392
2019-04-01,1305.654,367.047,3.557184774701877
2019-07-01,1219.788,376.722,3.237899565196617
2019-10-01,1223.705,379.033,3.228491978271021
2020-01-01,1276.439,373.972,3.413194035917128
2020-04-01,1349.818,361.515,3.733781447519467
2020-07-01,1250.895,339.882,3.680380249616043
2020-10-01,1207.653,324.474,3.7218791027940608
2021-01-01,1916.245,316.974,6.045432748427316
2021-04-01,1792.391,316.147,5.669486030232772
2021-07-01,2067.516,321.856,6.423729866772718
2021-10-01,2440.734,325.953,7.487993667798732
2022-01-01,2397.771,328.44,7.300484106686153
2022-04-01,2384.892,329.319,7.241890082260665
2022-07-01,2408.388,328.592,7.329417636461022
2022-10-01,2634.258,319.988,8.232364963686138
2023-01-01,2484.3,303.507,8.185313683045202
2023-04-01,2375.881,279.152,8.511065655986702
2023-07-01,2589.194,246.92,10.48596306496031
2023-10-01,2642.112,222.809,11.858192442854644
2024-01-01,2747.473,206.814,13.284753449959869
2024-04-01,2837.669,198.949,14.263298634323368
2024-07-01,2831.876,199.209,14.21560270871296
2024-10-01,2911.757,199.358,14.605669198125984
2025-01-01,2921.264,199.407,14.649756528105833
2025-04-01,3015.841,199.348,15.128523988201536
2025-07-01,2668.053,206.158,12.941787366970964
2025-10-01,2696.147,206.325,13.06747606930813
2026-01-01,2849.058,200.261,14.226724125016853
