date,st_debt
1978-03-01,35.413742953392074
1978-06-01,35.87655042794721
1978-09-01,36.18035911733382
1978-12-01,35.739549626608024
1979-03-01,36.34195238646539
1979-06-01,36.92414311941141
1979-09-01,37.94123783320801
1979-12-01,38.51793474525138
1980-03-01,39.25381595708261
1980-06-01,40.20517992228068
1980-09-01,39.56681958846843
1980-12-01,39.545588383241466
1981-03-01,40.5846570497668
1981-06-01,40.62566258996196
1981-09-01,41.270333580913984
1981-12-01,42.11826777103932
1982-03-01,43.0255642273613
1982-06-01,43.72892422809024
1982-09-01,44.81531814016296
1982-12-01,45.34596489641345
1983-03-01,44.81764242587063
1983-06-01,44.13658828815337
1983-09-01,43.682269917284
1983-12-01,43.81955032226165
1984-03-01,44.66656305723232
1984-06-01,45.56235601307316
1984-09-01,46.65682434037
1984-12-01,46.6523501796288
1985-03-01,46.86152260477425
1985-06-01,47.262549233218806
1985-09-01,46.75987237394944
1985-12-01,46.50539803051761
1986-03-01,46.50231476978739
1986-06-01,45.87239987884712
1986-09-01,45.40151723380008
1986-12-01,45.02904838125681
1987-03-01,45.74200729191428
1987-06-01,44.1300003988624
1987-09-01,44.02767946818374
1987-12-01,43.577575360052215
1988-03-01,43.76383378359179
1988-06-01,43.87578738532935
1988-09-01,43.88845506297408
1988-12-01,43.772938801942814
1989-03-01,43.98910594058761
1989-06-01,44.32595117247073
1989-09-01,44.805203282059765
1989-12-01,44.58636736989295
1990-03-01,45.03913341112703
1990-06-01,45.40919825128518
1990-09-01,45.44781900649538
1990-12-01,45.45486308007994
1991-03-01,45.06747824758936
1991-06-01,43.95830088565899
1991-09-01,43.044849297359406
1991-12-01,42.07413367252089
1992-03-01,41.11516535064696
1992-06-01,41.03093100182713
1992-09-01,40.544245095626565
1992-12-01,40.188630432005965
1993-03-01,40.262686206777474
1993-06-01,39.36949569132187
1993-09-01,38.85509991495688
1993-12-01,37.86564003357277
1994-03-01,37.19409868699499
1994-06-01,37.715081073294
1994-09-01,37.76839795879747
1994-12-01,37.86279353886691
1995-03-01,38.2630838582298
1995-06-01,39.252071474947726
1995-09-01,39.699471529885614
1995-12-01,39.74691361879306
1996-03-01,40.1349885239891
1996-06-01,40.20245240803532
1996-09-01,40.22928405483525
1996-12-01,40.29866665789
1997-03-01,39.68276768940173
1997-06-01,39.88488976569657
1997-09-01,39.793086605104286
1997-12-01,39.22012006322541
1998-03-01,39.65095335261504
1998-06-01,39.71095735719437
1998-09-01,39.45587573454719
1998-12-01,39.85087218983557
1999-03-01,39.7186969973103
1999-06-01,40.07403805377582
1999-09-01,39.38269234751746
1999-12-01,38.6678499336165
2000-03-01,38.44926021119134
2000-06-01,39.10827040371407
2000-09-01,39.74231132082649
2000-12-01,39.3936141891177
2001-03-01,39.31608410112927
2001-06-01,38.06190707828127
2001-09-01,36.49001894527083
2001-12-01,35.52393117416302
2002-03-01,34.047595604046386
2002-06-01,33.312498748146936
2002-09-01,32.29209801527231
2002-12-01,32.04623766204971
2003-03-01,31.34865949910117
2003-06-01,30.87403928041771
2003-09-01,29.80772424142652
2003-12-01,29.14190425539206
2004-03-01,28.82470115317378
2004-06-01,28.11904597113096
2004-09-01,28.35107337362012
2004-12-01,28.507141088542493
2005-03-01,29.010042221179987
2005-06-01,29.42077450458841
2005-09-01,29.592069215237515
2005-12-01,29.16891509633432
2006-03-01,28.987456427361597
2006-06-01,29.185025813363552
2006-09-01,29.64723869145327
