date,ig_oas_raw,us_10y,ig_spread_pctl_1y,ig_spread_pctl_5y,ig_spread_zscore_3m,ig_spread_zscore_1y,ig_spread_zscore_3y,ig_spread_delta_zscore_3m,ig_spread_delta_zscore_1y
2000-05-01,1.62,6.29,99.20318725099602,98.5244040862656,1.7323200974149626,3.247190276275208,2.207337414097166,2.5295056190139356,1.7053367016951715
2000-05-02,1.62,6.32,98.80478087649402,98.4126984126984,1.6712019566117853,3.1798843831341523,2.1986230900839567,2.850379701879747,1.473774633872403
2000-05-03,1.62,6.4,98.40637450199203,98.30124575311439,1.613413155597138,3.1125847942758282,2.18999863259178,2.6585150547366587,1.354381599323095
2000-05-04,1.61,6.46,97.60956175298804,98.07692307692307,1.4923991056878398,2.974339935749719,2.1463823894718304,2.39594083963908,1.3491287341473575
2000-05-05,1.61,6.51,97.21115537848605,97.96610169491525,1.4438157557084164,2.9202351346946354,2.138252798016816,2.219133408575935,1.3792849349169884
2000-05-08,1.62,6.57,98.00796812749005,98.1941309255079,1.463589727687607,2.9398406513992392,2.1650749645707035,2.116734256161643,1.2953222468841359
2000-05-09,1.63,6.53,99.20318725099602,98.53438556933483,1.482888115712658,2.9583473895262986,2.1915959960596623,2.141607923409989,1.3603141814535715
2000-05-10,1.64,6.47,99.60159362549801,98.64864864864865,1.501861099967439,2.974868649157052,2.217921927160357,2.1646413218458234,1.3877620841588127
2000-05-11,1.64,6.43,99.20318725099602,98.5376827896513,1.4548256461260685,2.915931259269625,2.209050047305598,2.1120030337533557,1.2682190459141078
2000-05-12,1.65,6.51,99.60159362549801,98.65168539325843,1.4772619700015341,2.929318969386481,2.235098878297961,2.1320372506732523,1.2584244836213045
2000-05-15,1.66,6.47,99.60159362549801,98.65319865319864,1.501629248172394,2.940960167858759,2.260807276920507,2.278269939131244,1.2856486480185527
2000-05-16,1.68,6.43,99.60159362549801,98.65470852017937,1.5909690600729085,3.0194127229159586,2.3207360425417214,2.234381121892662,1.3843441940290289
2000-05-17,1.69,6.48,99.60159362549801,98.65621500559911,1.6110085992485208,3.024055859537858,2.3454371127130695,2.2455837126919396,1.3731747309871265
2000-05-18,1.68,6.56,98.80478087649402,98.43400447427292,1.4966683808024426,2.8959985961295245,2.301035587372076,1.9956172303134965,1.3302683626329408
2000-05-19,1.68,6.51,98.40637450199203,98.32402234636871,1.458260710346242,2.8397255348821853,2.2914958115488933,2.0751287007425723,1.2849571042036139
2000-05-22,1.68,6.44,98.00796812749005,98.21428571428571,1.421430724857826,2.78620767882491,2.282180290509394,1.8992156181660855,1.2772383298396863
2000-05-23,1.69,6.45,99.20318725099602,98.55072463768117,1.4576517820645094,2.7991622373248215,2.30705217106657,1.9192786996849365,1.3409592854161252
2000-05-24,1.69,6.47,98.80478087649402,98.44097995545657,1.4171857549715756,2.7481157192624157,2.2974733336880173,1.3594382006899395,1.3328477110802064
2000-05-25,1.74,6.39,99.60159362549801,98.66518353726363,1.7225045470863782,3.007316343857699,2.458228142972815,1.2450564570405678,1.4950631149115314
2000-05-26,1.73,6.33,99.20318725099602,98.55555555555556,1.5944246185238709,2.8848762508283237,2.4131849785795016,1.010316850227931,1.4142067231474245
2000-05-29,1.74,,99.20318725099602,98.55715871254162,1.6109105321538537,2.8888938372496384,2.4364854707673533,0.904539488238649,1.439067744274313
2000-05-30,1.74,6.38,98.80478087649402,98.4478935698448,1.557113237533284,2.8330104365519886,2.4255241104216583,0.7403660798365186,1.4296596186267383
2000-05-31,1.77,6.29,99.60159362549801,98.67109634551495,1.7116533696397214,2.953829389054777,2.516077957934607,0.8814002652874695,1.521759463256884
2000-06-01,1.77,6.2,99.20318725099602,98.56194690265487,1.6538212108293757,2.894662170396912,2.504319341745034,0.8443283547392784,1.5115396626492696
2000-06-02,1.78,6.15,99.60159362549801,98.67403314917127,1.668290805877912,2.894757493427608,2.526232876068268,0.8647626974195721,1.5349848864591373
2000-06-05,1.75,6.12,98.40637450199203,98.34437086092716,1.4115110060602694,2.671620612331989,2.4140031249818965,0.6601280690052884,1.4242797536066099
2000-06-06,1.75,6.14,98.00796812749005,98.23594266813672,1.3747892137639026,2.6257785832883953,2.4035869232773814,0.7571745746250589,1.415381153136556
2000-06-07,1.72,6.13,96.01593625498009,97.68722466960352,1.125431315948697,2.417501550445885,2.2932371888059127,0.31449377131559286,1.306542056572557
2000-06-08,1.73,6.13,96.01593625498009,97.6897689768977,1.1675812019005303,2.4364558767444877,2.3172951496233196,0.22923311702171034,1.3693782086665327
2000-06-09,1.72,6.13,95.2191235059761,97.47252747252747,1.0644869625360565,2.346335895446237,2.274564142962144,0.16719200829027603,1.3280348087709437
2000-06-12,1.72,6.09,94.82071713147411,97.3655323819978,1.0379694177182177,2.3133462004704644,2.2655190347323426,0.15706433800689146,1.3203712282477884
2000-06-13,1.71,6.11,94.42231075697211,97.25877192982456,0.9362753281798347,2.226609657349252,2.2234228707578683,0.09250300698010694,1.0560428594606215
2000-06-14,1.71,6.06,94.02390438247012,97.15224534501642,0.9137792378465414,2.196110484358663,2.2147747443701706,0.08479686066680525,1.0867519019015268
2000-06-15,1.7,6.05,93.62549800796812,97.04595185995623,0.809848686563951,2.1142935911821055,2.1733858998892615,-0.09617911768408227,1.0845677189078864
2000-06-16,1.7,5.99,93.22709163346613,96.93989071038251,0.7889902239380882,2.08738565777717,2.1654443603794604,-0.09845396314502608,1.0784467156719082
2000-06-19,1.69,6.0,91.63346613545816,96.50655021834062,0.6821804733608293,2.009361939721347,2.124483469676128,-0.03219799680916058,1.0392972551047
2000-06-20,1.69,6.03,91.23505976095618,96.40130861504908,0.664174123269017,1.985146983421354,2.1168758800064755,-0.03509186802308628,0.9962654984027122
2000-06-21,1.68,6.11,89.2430278884462,95.86056644880175,0.547545759976918,1.9102207042112136,2.076319266052341,-0.2101008443354906,0.957633891155016
2000-06-22,1.69,6.12,90.83665338645417,96.30032644178455,0.631461758092675,1.939585796217713,2.1019079194258232,-0.39514592420678274,0.9851376598097079
2000-06-23,1.68,6.19,88.44621513944223,95.65217391304348,0.5034263539305458,1.866367598147882,2.0615720805945066,-0.4406108426401272,0.946707129269152
2000-06-26,1.69,6.11,90.43824701195219,96.19978284473399,0.5956179009659803,1.896435446787903,2.087226324745481,-1.3084214184746332,1.0114571802745091
2000-06-27,1.69,6.1,90.0398406374502,96.09544468546638,0.5713405263705735,1.8752625895362234,2.0798737087290666,-1.6012468095549652,1.005861244967245
2000-06-28,1.69,6.11,89.64143426294821,95.99133261105092,0.5471241045815536,1.854595419902238,2.0725913040944417,-1.5444202184350022,1.0003269390240739
2000-06-29,1.69,6.04,89.2430278884462,95.88744588744589,0.5225923517975575,1.8344126159421257,2.0653781330974774,-1.5970252882906393,0.9948533543635556
2000-06-30,1.71,6.03,93.62549800796812,97.08108108108108,0.763415135871791,1.913845516283547,2.1236469844485524,-1.4402900331694097,1.0548533485696163
2000-07-03,1.71,6.0,93.22709163346613,96.97624190064795,0.7431670299996406,1.89235981336536,2.116028079278829,-1.389188852514866,1.048957210869281
2000-07-04,1.71,,92.82868525896414,96.87162891046385,0.7210288283758306,1.8713946029920074,2.1084837878391296,-1.5466527475919376,1.0431273788428042
2000-07-05,1.71,5.99,92.43027888446214,96.76724137931035,0.6972959436770493,1.8509277361680456,2.1010130411148524,-1.6882408026695885,1.0373628500496395
2000-07-06,1.71,6.05,92.03187250996015,96.66307857911734,0.6725223552437216,1.8309383749177004,2.0935099708307425,-1.8160041881137798,1.031557822044074
2000-07-07,1.71,6.01,91.63346613545816,96.55913978494624,0.648753412694215,1.8109560369707367,2.086183554456862,-1.6452212322366848,0.9144371585488027
2000-07-10,1.71,6.04,91.23505976095618,96.45542427497314,0.624599043883798,1.7913121723395682,2.0789276126928615,-1.6751990128558358,0.8721201447528313
2000-07-11,1.7,6.06,90.0398406374502,96.13733905579399,0.43859453122353886,1.7242449923607466,2.039216412062739,-1.8385581723412305,0.8717441640744257
2000-07-12,1.7,6.09,89.64143426294821,96.03429796355842,0.4126247279108808,1.7065373098678345,2.0322527012131673,-1.5859468116752806,0.8668342425494
2000-07-13,1.7,6.01,89.2430278884462,95.93147751605996,0.3860013429316855,1.68884642068349,2.0253533127942673,-1.5314270311301421,0.6765229453677628
2000-07-14,1.69,6.1,84.86055776892431,94.75935828877006,0.17641837611784902,1.6241167089847814,1.9863419756232574,-1.5281441890928704,0.6403334259315794
2000-07-17,1.68,6.17,82.07171314741036,94.01709401709401,-0.04684046578737323,1.560778621029726,1.9475557644612167,-1.6155386440338273,0.6043513881827554
2000-07-18,1.67,6.16,81.67330677290838,93.91675560298826,-0.23845162699043337,1.4987264931654767,1.9090771617165343,,0.6056698702226475
2000-07-19,1.67,6.16,81.27490039840637,93.81663113006397,-0.2979374352865199,1.4848171989453895,1.9031185072624368,-1.4602558990311203,0.5653182384147339
2000-07-20,1.68,6.01,81.67330677290838,93.9297124600639,-0.14182378028149198,1.517942175164025,1.9294127475334832,-1.461857030376292,0.5574026475847031
2000-07-21,1.67,6.01,80.47808764940238,93.61702127659575,-0.42423026787439677,1.4570673600456454,1.8911536153414572,-1.638713889911062,0.5589958204858985
2000-07-24,1.68,6.04,81.27490039840637,93.83634431455899,-0.23183102324922603,1.4903310061544601,1.9174180802738898,-1.7124637583147055,0.5141488742605385
2000-07-25,1.68,6.04,80.87649402390437,93.73673036093419,-0.255912509387621,1.476576783929149,1.9114434304161283,-1.9854346415717805,0.47435691708474015
2000-07-26,1.65,6.04,78.48605577689243,93.10710498409331,-1.0540794258631692,1.3243704470731752,1.8091299393978322,-1.8997023244417528,0.4121219665756386
2000-07-27,1.67,6.02,79.2828685258964,93.32627118644068,-0.5722138021632557,1.405298723045221,1.8681201514604546,-1.8418915532299869,0.474131292539143
2000-07-28,1.66,6.04,78.48605577689243,93.12169312169311,-0.8749475637826832,1.3469003865170404,1.8304904781799685,-1.832983996617112,0.4027019717647726
2000-07-31,1.69,6.04,84.4621513944223,94.71458773784354,-0.09349997210074328,1.4726951216381603,1.9214831943425588,-1.639889672637668,0.5336338376904797
2000-08-01,1.68,6.0,80.0796812749004,93.55860612460401,-0.42399869733258827,1.4135799099831992,1.8835674047626647,-1.56076002576652,0.4986785032627401
2000-08-02,1.69,5.98,84.06374501992032,94.62025316455697,-0.17683240984771711,1.4464931431246235,1.9100327392388148,-1.4737419915700118,0.4913612524239255
2000-08-03,1.69,5.95,83.66533864541833,94.52054794520548,-0.22132287707324272,1.433418742411555,1.904283321013642,-1.5064219089876842,0.4887182352995165
2000-08-04,1.69,5.91,83.26693227091634,94.42105263157895,-0.2623598653193997,1.4205434180731775,1.8985839953517072,-1.537803971453121,0.4861049851459238
2000-08-07,1.69,5.97,82.86852589641434,94.3217665615142,-0.29835634923164706,1.4078505732120503,1.8929342300021523,-1.5670180759450016,0.5201672958191961
2000-08-08,1.68,5.93,78.08764940239044,93.0672268907563,-0.6898383717548436,1.3504082169470282,1.85533543051769,-1.5655230423225968,0.48543430893980366
2000-08-09,1.68,5.81,77.68924302788844,92.96956977964324,-0.7226500527217078,1.3387348088142936,1.8502798566640604,-1.5905841605721875,0.44662584396715954
2000-08-10,1.69,5.76,82.47011952191235,94.23480083857443,-0.37919535565310497,1.371945240916465,1.8771613477986384,-1.569014926942294,0.43994812303493247
2000-08-11,1.69,5.79,82.07171314741036,94.13612565445027,-0.3864459071977069,1.3599646098542417,1.8720029890949939,-1.659448113061717,0.47450463922599107
2000-08-14,1.68,5.78,76.49402390438247,92.67782426778243,-0.752465783874127,1.3036902118870448,1.8350071520794982,-1.7203656476508131,0.44047819574217706
2000-08-15,1.68,5.81,76.09561752988047,92.58098223615465,-0.752465783874127,1.2928021734058892,1.830031019300293,-1.6031964227236353,0.2925351472674722
