date,tlt_shares,tlt_flow_yoy,tlt_flow_3m,tlt_flow_pctl_1y,tlt_flow_pctl_5y,tlt_flow_zscore_3m,tlt_flow_zscore_1y,tlt_flow_zscore_3y,tlt_flow_delta_zscore_3m,tlt_flow_delta_zscore_1y
2003-11-25,2400000.0,66.19718309859155,73.91304347826086,,,1.5361736660564114,,,,
2003-11-26,2400000.0,66.19718309859155,73.91304347826086,,,1.5078981662984523,,,,
2003-11-28,2400000.0,65.71428571428571,73.03370786516854,,,1.4550288339998674,,,,
2003-12-01,2400000.0,64.17910447761194,73.03370786516854,,,1.355680987005488,,,,
2003-12-02,3200000.0,52.23880597014925,62.7906976744186,,,0.7260691388757569,,,,
2003-12-03,3800000.0,43.28358208955224,55.81395348837209,,,0.22463051754404456,,,,
2003-12-04,3300000.0,50.74626865671642,61.627906976744185,,,0.6132919578146011,,,,
2003-12-05,4300000.0,32.8125,48.80952380952381,,,-0.4673092327632419,,,,
2003-12-08,4300000.0,32.8125,44.87179487179487,,,-0.5101534564074522,,,,
2003-12-09,4300000.0,31.746031746031743,44.87179487179487,,,-0.6246424590145667,,,,
2003-12-10,4200000.0,31.147540983606557,44.73684210526315,,,-0.7280696745674938,,,,
2003-12-11,4200000.0,27.586206896551722,43.99999999999999,,,-1.0449530427522715,,,,
2003-12-12,4200000.0,27.586206896551722,40.0,,,-1.1018577461717676,,,,
2003-12-15,4200000.0,27.586206896551722,40.0,,,-1.1649577815158394,,,,
2003-12-16,4200000.0,26.315789473684216,35.38461538461538,,,-1.299517142745547,,,,
2003-12-17,3800000.0,33.333333333333336,41.53846153846153,,,-0.7962207951155746,,,,
2003-12-18,3800000.0,33.333333333333336,40.625,,,-0.840149932685964,,,,
2003-12-19,3600000.0,36.8421052631579,40.98360655737705,,,-0.5831308609631302,,,,
2003-12-22,3300000.0,42.10526315789473,41.07142857142857,,,-0.15702198881475718,,,,
2003-12-23,3300000.0,42.10526315789473,40.0,,,-0.17648704118513753,,,,
2003-12-24,3300000.0,42.10526315789473,40.0,,,-0.20167551218818683,,,,
2003-12-26,3300000.0,42.10526315789473,28.260869565217394,,,-0.20689395306313269,,,,
2003-12-29,3300000.0,42.10526315789473,28.260869565217394,,,-0.21213663006401798,,,,
2003-12-30,3300000.0,42.10526315789473,26.66666666666667,,,-0.21531974209589136,,,,
2003-12-31,3300000.0,42.10526315789473,21.42857142857143,,,-0.21255810061184272,,,,
2004-01-02,3300000.0,42.10526315789473,15.384615384615385,,,-0.20429784267995857,,,,
2004-01-05,3300000.0,43.103448275862064,15.384615384615385,,,-0.10825863786262027,,,,
2004-01-06,3300000.0,43.103448275862064,15.384615384615385,,,-0.1013913800495155,,,,
2004-01-07,3300000.0,43.103448275862064,15.384615384615385,,,-0.09451774802449726,,,,
2004-01-08,3300000.0,43.103448275862064,15.384615384615385,,,-0.09172033809597203,,,,
2004-01-09,3300000.0,43.103448275862064,13.157894736842103,,,-0.08694837957524182,,,,
2004-01-12,3200000.0,40.74074074074075,27.27272727272727,,,-0.30296203715230907,,,,
2004-01-13,2700000.0,50.0,38.63636363636363,,,0.5109783099069416,,,,
2004-01-14,2600000.0,51.85185185185186,40.90909090909091,,,0.6568843842809615,,,,
2004-01-15,2500000.0,53.703703703703695,43.18181818181818,,,0.7986636810257408,,,,
2004-01-16,3000000.0,44.44444444444444,31.818181818181824,,,-0.038829224000068004,,,,
2004-01-20,3000000.0,44.44444444444444,34.78260869565217,73.80952380952381,,-0.052300597953364864,0.24005558392027462,,,
2004-01-21,2500000.0,53.703703703703695,46.808510638297875,87.4015748031496,,0.7579090532735633,0.26185901561326064,,,
2004-01-22,3100000.0,42.592592592592595,34.04255319148937,67.1875,,-0.2637940420721005,0.2333115470070342,,,
2004-01-23,2900000.0,46.29629629629629,38.297872340425535,75.1937984496124,,0.05708258137551429,0.24155171988012317,,,
2004-01-26,2700000.0,50.0,38.63636363636363,82.3076923076923,,0.38231848969069965,0.24979613883292476,,,
2004-01-27,2700000.0,50.0,38.63636363636363,81.67938931297711,,0.3659180653526738,0.24878855064250927,,,
2004-01-28,2500000.0,53.703703703703695,48.97959183673469,87.12121212121212,,0.6846746966474244,0.25708302136985267,,,
2004-01-29,2500000.0,50.98039215686274,47.916666666666664,84.21052631578947,,0.406302714367582,0.24920241594331377,,,
2004-01-30,3200000.0,36.0,28.888888888888886,47.01492537313433,,-1.0181588457183504,0.21036810744629264,,,
2004-02-02,3200000.0,36.0,23.809523809523814,46.666666666666664,,-1.0050025262674098,0.20955875104108282,,,
2004-02-03,3200000.0,36.0,23.809523809523814,46.32352941176471,,-0.9920828313543,0.20875866804064475,,,
2004-02-04,3500000.0,30.000000000000004,7.8947368421052655,35.76642335766424,,-1.5031020964772646,0.1926398511495804,,,
2004-02-05,3200000.0,36.0,13.513513513513509,46.3768115942029,,-0.925590373640768,0.20730261528487842,,,
2004-02-06,3200000.0,36.0,13.513513513513509,46.043165467625904,,-0.9024142235356087,0.20652884312674355,,,
2004-02-09,3600000.0,28.000000000000004,2.7027027027026973,33.57142857142857,,-1.5698443647420492,0.18510782162373485,,,
2004-02-10,3400000.0,31.999999999999996,2.857142857142858,39.00709219858156,,-1.174972280186844,0.19479691595733717,,,
2004-02-11,3400000.0,31.999999999999996,-0.0,38.732394366197184,,-1.1379168290560442,0.19408856539218142,,,
2004-02-12,3400000.0,31.999999999999996,-9.677419354838701,38.46153846153847,,-1.1019978577399445,0.1933878885735668,,,
2004-02-13,3100000.0,34.04255319148937,-0.0,45.83333333333333,,-0.8941884198915341,0.19804223846233057,,,
2004-02-17,3100000.0,32.608695652173914,-0.0,40.689655172413794,,-0.9881364563672129,0.19356936534078442,,,
2004-02-18,2900000.0,32.55813953488372,6.451612903225811,40.41095890410959,,-0.9616376594436286,0.1927517247323745,,,
2004-02-19,2000000.0,53.48837209302326,31.034482758620683,87.75510204081633,,0.8965894363703932,0.24742346898226836,,,
2004-02-20,2000000.0,53.48837209302326,31.034482758620683,87.16216216216216,,0.9131611294346975,0.2465405348295784,,,
2004-02-23,2000000.0,52.38095238095239,23.076923076923073,86.57718120805369,,0.8474308744478364,0.2427197912308341,,,
2004-02-24,2000000.0,53.48837209302326,23.076923076923073,86.66666666666667,,0.9837312607167955,0.24482371151637944,,,
2004-02-25,2000000.0,53.48837209302326,23.076923076923073,86.09271523178808,,1.0208163041445495,0.24396837191827445,,,
2004-02-26,2400000.0,44.18604651162791,7.692307692307687,70.39473684210526,,0.16548983245627766,0.21812564836294845,,,
