date,hy_oas_raw,us_10y,hy_spread_pctl_1y,hy_spread_pctl_5y,hy_spread_zscore_3m,hy_spread_zscore_1y,hy_spread_zscore_3y,hy_spread_delta_zscore_3m,hy_spread_delta_zscore_1y
2014-10-29,4.32,2.34,88.84462151394422,18.268467037331217,0.4353951199027504,1.2921710147964758,-0.6441647696097866,0.7476377390535582,0.5662330378724266
2014-10-30,4.35,2.32,90.0398406374502,18.903891977760125,0.5191442228919487,1.3922157577547472,-0.6124132501784643,1.01708172851603,0.6245904215217006
2014-10-31,4.3,2.35,87.64940239043824,17.871326449563146,0.3582878177252637,1.229107044993422,-0.6611203709146495,0.7417919174060394,0.6026676166198656
2014-11-03,4.29,2.36,86.85258964143426,17.712470214455916,0.3223877792094427,1.1967665647840968,-0.6696094944509237,0.7268124138480287,0.6303465535418393
2014-11-04,4.35,2.35,90.0398406374502,19.062748212867355,0.5008511963356469,1.3925784609214893,-0.6069440343295897,0.913515930684575,0.709638390748497
2014-11-05,4.32,2.36,88.84462151394422,18.427323272438443,0.397354702773822,1.2936571875943372,-0.6368950602673328,1.016007977143279,0.6483477148065687
2014-11-06,4.3,2.39,87.64940239043824,17.950754567116757,0.324001390627266,1.2277096720428995,-0.655584003828239,1.0729466748342853,0.6463272968727776
2014-11-07,4.36,2.32,90.43824701195219,19.936457505957108,0.49422375306353344,1.4221895374594309,-0.5924384925027453,1.3658227998083305,0.7356758180579017
2014-11-10,4.32,2.38,88.04780876494024,18.506751389992058,0.35379910051160174,1.2888015280066105,-0.6317924470196197,1.3862732145875176,0.6937765202715873
2014-11-11,4.32,,87.64940239043824,18.506751389992058,0.3376732561993671,1.286166826739165,-0.6300970167080503,1.3834415176722703,0.7216009595607847
2014-11-12,4.33,2.37,88.84462151394422,18.903891977760125,0.3496814358533832,1.3160005016959857,-0.6179256517336129,1.623990244789099,0.7312333580099544
2014-11-13,4.37,2.35,90.43824701195219,20.413026211278794,0.45403448639078636,1.4421537081915146,-0.5758633284981852,1.8535527870611486,0.7803013221249796
2014-11-14,4.43,2.32,93.62549800796812,22.00158856235107,0.620606720986017,1.6317402885295624,-0.5114579346522331,2.2028633383199425,0.8042256948719734
2014-11-17,4.46,2.34,94.42231075697211,22.875297855440827,0.6922110425037231,1.7182861929937518,-0.47807659040023487,2.2276431734470403,0.9112163951709429
2014-11-18,4.53,2.32,96.01593625498009,23.669579030976966,0.8929016945689691,1.9304424642816633,-0.4026675797560534,2.48952320859948,0.9556538204397899
2014-11-19,4.57,2.36,96.01593625498009,25.337569499602857,0.9965573398351564,2.040210585465625,-0.3584253029955592,2.6494180612253597,1.0258656330416849
2014-11-20,4.61,2.34,96.01593625498009,26.608419380460685,1.1002462531332282,2.144773870558958,-0.31397778186385444,2.719515700094459,1.0960492725701556
2014-11-21,4.54,2.31,95.2191235059761,24.305003971405878,0.8369649463064167,1.9042067544536827,-0.385627427616463,2.3873334960964563,1.05015366200788
2014-11-24,4.54,2.3,94.82071713147411,24.305003971405878,0.8114364713790307,1.886161864279177,-0.3833762978369763,2.3343612627653703,1.068544505894957
2014-11-25,4.54,2.27,94.42231075697211,24.305003971405878,0.7871011819739478,1.869546096438325,-0.38113102485282613,2.369152511696474,1.0302763880102062
2014-11-26,4.56,2.24,95.2191235059761,25.337569499602857,0.8335576912763244,1.9130577866622511,-0.3575186130606681,2.290515401511624,1.088691354043156
2014-11-27,4.56,,94.82071713147411,25.337569499602857,0.8092208735005371,1.8945811250296076,-0.3552126089863123,2.2656220417390602,1.0882311853870552
2014-11-28,4.64,2.18,96.01593625498009,27.79984114376489,1.084686096273937,2.1161550796533914,-0.2669609938597996,2.5982153123673517,1.1645964394354016
2014-11-30,4.67,,96.81274900398407,29.15011914217633,1.1750308153039453,2.1801521734901916,-0.23217714983000573,2.5673596561831395,1.2251807805916415
2014-12-01,4.82,2.22,97.60956175298804,37.88721207307387,1.7192235894527297,2.5914387646977834,-0.06765948393048897,2.912838904157723,1.331524712089357
2014-12-02,4.82,2.28,97.21115537848605,37.88721207307387,1.669813462610789,2.5506770805393364,-0.06511747113128913,2.625433577124283,1.3417961278751211
2014-12-03,4.81,2.29,96.81274900398407,37.569499602859416,1.5889646385156384,2.481530913062634,-0.07351466962252455,2.578439398764344,1.397487190312404
2014-12-04,4.83,2.25,97.60956175298804,38.52263701350278,1.6272700822247494,2.4986033475597154,-0.04927421692585898,2.5563300480285682,1.4478733722730404
2014-12-05,4.77,2.31,96.01593625498009,34.86894360603653,1.34768354645464,2.292609908483781,-0.11225139910327116,2.0941632303380264,1.4203578225013591
2014-12-08,4.87,2.26,98.00796812749005,39.555202541699764,1.6974228851384021,2.53290918395596,-0.0004546342386080709,2.1974027953156554,1.5672551884597052
2014-12-09,5.06,2.22,98.80478087649402,45.353455123113584,2.350039860483005,3.0036161223647686,0.2103928839904235,2.7163663481023796,
2014-12-10,5.21,2.18,99.20318725099602,48.2922954725973,2.7502241667540064,3.3268956127616125,0.378152999168864,2.928907830548665,1.9448568803769075
2014-12-11,5.25,2.19,99.20318725099602,49.007148530579826,2.7061458103802924,3.34291162298086,0.42518894008396435,2.798536522659546,1.9896917920154988
2014-12-12,5.47,2.1,99.20318725099602,54.24940428911835,3.1967445717192104,3.7919722562614955,0.6708488476683857,3.3970700034602848,2.223804125312186
2014-12-15,5.52,2.12,99.20318725099602,55.44082605242255,3.102617254328831,3.789598602240125,0.7290961207469522,3.6162263340912917,2.2521037677591043
2014-12-16,5.71,2.07,99.60159362549801,60.683081810961085,3.367160679038395,4.106351140936319,0.9419502982237947,3.95497291252166,
2014-12-17,5.48,2.14,98.80478087649402,54.40826052422557,2.530242603807713,3.4538734137285605,0.6894318324255917,3.117578215838396,2.2115576318343986
2014-12-18,5.15,2.22,97.21115537848605,47.1803018268467,1.5251047608055328,2.6320976302268364,0.3250978814665566,1.8969375996685924,1.8634008509307933
2014-12-19,5.09,2.17,96.81274900398407,46.14773629864972,1.3097681252840965,2.4529169126067147,0.260523142220502,1.5263149781006158,1.8146817700344715
2014-12-22,5.03,2.17,95.61752988047809,44.47974583002382,1.1013859268723134,2.2818231805598947,0.19576919411948715,0.8058083043253195,1.7841721807180342
2014-12-23,4.94,2.26,94.82071713147411,41.69976171564734,0.8181373408590406,2.051771548940188,0.09753593096692864,0.3115044149865851,1.7289757124550662
2014-12-24,4.93,2.27,94.42231075697211,41.4614773629865,0.7678473942572218,2.004056755688405,0.0885021203784601,-0.13527818688728122,1.7074238273178857
2014-12-25,,,0.0,0.0,,,,,
2014-12-26,4.93,2.25,93.62549800796812,41.4614773629865,0.7302078961460976,1.9752952596339084,0.09290137257302401,0.03591011665006638,1.6235205003327988
2014-12-29,4.96,2.22,94.42231075697211,42.414614773629864,0.7897745655353139,2.0157067595278266,0.1287963243320231,0.18270040282269506,1.7028154665316457
2014-12-30,4.98,2.2,94.42231075697211,43.12946783161239,0.8187151893135601,2.0330699537166677,0.15339250631765544,0.6674062666598826,1.7704927810867748
2014-12-31,5.04,2.17,95.2191235059761,45.27402700555997,0.9583695789667062,2.1336306884587,0.2231465207115688,0.8694456176187273,1.8281923945876548
2015-01-01,,,0.0,0.0,,,,,
2015-01-02,5.08,2.12,95.2191235059761,46.22716441620334,1.0228951492649634,2.183029076230985,0.272508645413317,0.11394064984777463,1.8711095593486944
2015-01-05,5.21,2.04,96.41434262948208,49.08657664813344,1.3428716016797282,2.419048975981097,0.42155267459038404,0.21157479127129308,2.034928157702736
2015-01-06,5.37,1.97,97.21115537848605,52.74027005559968,1.7152447167216764,2.702129665938755,0.6044217793796002,0.0069073591142716495,2.25053506293544
2015-01-07,5.31,1.96,96.81274900398407,51.23113582208102,1.4935811430868535,2.533429240142052,0.5380681903408888,-0.13982906496122727,2.0889409686931373
2015-01-08,5.17,2.03,95.2191235059761,48.610007942811755,1.091994258660017,2.216424291251916,0.38078542263549076,-1.0150528006956212,1.7824054132852596
2015-01-09,5.2,1.98,95.2191235059761,49.166004765687056,1.1602966745384211,2.244779154222874,0.4165071934089638,-1.7479931600525171,1.8061587262542025
2015-01-12,5.27,1.92,96.41434262948208,50.27799841143765,1.3168170786391349,2.348526720043028,0.4976383946675628,-1.208794227215681,1.8936990439836903
2015-01-13,5.28,1.91,96.41434262948208,50.675138999205714,1.2988363731944348,2.333265201483604,0.5105705578674129,-0.185172261496235,1.8406815314739489
2015-01-14,5.39,1.86,97.21115537848605,53.85226370135028,1.5221941731617932,2.5059238799770758,0.6375314023181526,0.014752396501036547,1.992670679259376
2015-01-15,5.42,1.77,97.21115537848605,54.805401111993646,1.535277955314381,2.5216250002215257,0.6740224070085437,0.6342084664663634,1.9454525092199855
2015-01-16,,1.83,0.0,0.0,,,,,
2015-01-19,5.39,,96.01593625498009,53.85226370135028,1.3917946056364208,2.4245458992816915,0.6442690130999827,0.9371985673620358,1.8221667194234281
2015-01-20,5.39,1.82,95.61752988047809,53.85226370135028,1.3431635632598464,2.388505991165036,0.6460758748065889,0.9011586592453804,1.8499108334212142
2015-01-21,5.36,1.87,94.82071713147411,53.05798252581414,1.2266519738556243,2.2992076652867293,0.6134300072348426,0.7157934416103013,1.879275013883725
2015-01-22,5.27,1.9,93.22709163346613,50.27799841143765,0.9739654322085607,2.1066687402011373,0.51171223193849,0.5876561059727741,1.7850510865625497
2015-01-23,5.3,1.81,94.02390438247012,51.469420174741856,1.0146646310586385,2.1329809382557214,0.5473809359475312,0.8408099234592457,1.8551954172058012
2015-01-26,5.26,1.83,92.43027888446214,50.19857029388404,0.8861328967576435,2.034867184699143,0.5027385128079829,0.6426514269443957,1.880990427719332
2015-01-27,5.29,1.83,93.62549800796812,51.38999205718825,0.9312002195944433,2.0614567517412867,0.5385519260578885,0.8323497067478647,1.977834167240918
2015-01-28,5.31,1.73,94.02390438247012,51.86656076250993,0.9523808950396719,2.069855363848499,0.5626769395728314,0.8730887990644021,1.9459734354927698
2015-01-29,5.28,1.77,92.43027888446214,50.833995234312944,0.8474739414540858,1.9920918718521603,0.529267723435346,0.599513410930671,1.9469168742694036
2015-01-30,5.37,1.68,94.82071713147411,53.693407466243045,1.0502626362126475,2.1202099821899436,0.6342154734355008,0.8265527945956064,2.0501517179223763
2015-01-31,5.26,,90.43824701195219,50.19857029388404,0.7355116227691945,1.9072650164330132,0.5087564326654207,0.6795553443901137,1.941003704654344
2015-02-02,5.26,1.68,90.0398406374502,50.19857029388404,0.7097355896454534,1.8848881077747741,0.5102728526911902,0.4626985703153432,1.9945669842480285
2015-02-03,5.11,1.79,87.25099601593625,47.25972994440032,0.269568890127543,1.6130028667440748,0.3384629946046071,0.32420133873746426,1.8473456100035321
2015-02-04,5.05,1.81,85.2589641434263,45.830023828435266,0.06743747050435087,1.497116929436658,0.27069555526024514,0.21095010269749292,1.7950057906718757
2015-02-05,4.99,1.83,84.06374501992032,43.68546465448769,-0.14606897688352208,1.3834132440358244,0.20288170731732766,0.06741274233983874,1.7694289686565616
2015-02-06,4.78,1.95,78.88446215139442,35.42494042891183,-0.8312514848984459,1.022054655946729,-0.03875077317294792,-0.4200990522447856,1.5338458641607682
2015-02-09,4.8,1.96,78.88446215139442,36.9340746624305,-0.8097888285015342,1.0474793340587314,-0.01374980681414169,-0.584260954470831,1.5557781989928583
2015-02-10,4.75,2.01,77.68924302788844,32.9626687847498,-1.0101412585847,0.9562379643668335,-0.0700248556425589,-0.7620482286269183,1.5053124147808654
